trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-996,-3728,17288,9956,-956,13844,7056,14108,5172,8156,-15084,2500,-2736,-100,14884,7316,5552,13856
0,-936,-3760,17372,9932,-736,13848,6984,14056,5100,8316,-15072,2452,-2672,-48,14756,7312,5444,13884
0,-956,-3792,17132,9720,-812,14172,7060,14244,4988,8404,-14976,2532,-2740,-88,14588,7248,5484,13648
0,-856,-3728,17364,9896,-620,14008,6740,14404,5000,8324,-14920,2716,-2656,60,14528,7328,5144,13916
0,-720,-3908,17468,9796,-672,14036,6792,14336,4900,8376,-14776,2628,-2608,220,14732,7372,5176,13840
0,-744,-4040,17364,9868,-544,14116,6600,14292,4916,8432,-14640,2872,-2580,324,14532,7420,5368,14144
0,-680,-4040,17488,9912,-420,14112,6620,14332,4752,8212,-14584,2904,-2536,252,14684,7308,5020,14132
0,-664,-4192,17620,9988,-340,14144,6600,14388,4684,8220,-14496,2712,-2512,240,14804,7376,5092,14204
0,-624,-4020,17456,9900,-144,14068,6416,14408,4692,8260,-14444,2720,-2384,56,14912,7312,5208,14344
0,-692,-4252,17188,10024,-176,14136,6460,14312,4668,8288,-14420,2600,-2360,12,15012,7224,5108,14412
0,-672,-4556,17180,9992,-228,14200,6576,14200,4724,8248,-14576,2612,-2332,0,15100,7140,5160,14308
0,-624,-4568,17140,9996,-48,14228,6612,14272,4936,8268,-14516,2700,-2504,-184,15048,7024,5256,14404
0,-576,-4492,17384,9912,-112,14180,6628,14192,4984,8084,-14588,2468,-2288,-136,15212,6848,5216,14220
0,-604,-4644,17396,10016,-60,14152,6420,14240,4916,8108,-14764,2568,-2392,-232,14872,7052,5244,14172
0,-604,-4440,17284,9944,-144,14148,6592,14184,5204,8044,-14808,2480,-2284,-52,14892,6704,5232,14172
0,-628,-4280,17400,10016,-292,14220,6604,14324,5220,8128,-14960,2360,-2300,-16,14780,7032,5252,14076
0,-736,-4212,17392,9904,-236,14172,6516,14220,5156,8060,-14908,2316,-2252,68,14796,6976,5076,14188
0,-640,-4168,17208,9684,-312,13884,6624,14180,5284,8104,-15044,2348,-2372,144,14964,7036,5268,14124
0,-908,-4116,17008,9944,-376,13976,6624,14168,5220,8080,-15024,2208,-2352,228,15068,6968,5428,14172
0,-732,-4260,16784,9800,-572,13796,6516,14072,5412,8036,-14996,2152,-2428,84,14916,7016,5348,14204
0,-816,-4508,16936,9964,52,13972,6644,13948,5412,8020,-14984,2020,-2372,164,15068,7036,5340,14432
0,-796,-4704,16996,9936,-120,13820,6736,13844,5620,7968,-14984,2104,-2336,40,15292,7100,5412,14240
0,-760,-4744,17064,10136,108,14012,6708,13824,5636,7824,-15132,1836,-2416,16,15048,6976,5564,14264
0,-764,-4768,17140,10056,324,14048,6744,13796,5580,7976,-15196,1912,-2440,-56,15196,7060,5572,14340
0,-584,-4768,17020,9928,432,14000,6740,13740,5536,7984,-15208,1912,-2580,-36,15288,6972,5608,14040
0,-616,-4840,16848,10012,280,14100,6744,13928,5704,7988,-15436,1888,-2504,52,15136,7248,5444,13932
0,-540,-4680,17048,9900,484,13892,6660,14000,5504,8064,-15396,2088,-2440,180,15064,7188,5408,13976
0,-368,-5108,16748,9844,640,13984,6640,13972,5660,8152,-15076,2208,-2640,144,14848,7304,5448,13900
0,-112,-5404,17136,9828,948,14124,6612,14012,5460,8160,-15048,2012,-2724,124,14844,7288,5436,13868
0,-52,-5308,17204,9768,1156,14232,6752,13920,5428,8136,-15044,2136,-2844,388,14824,7612,5428,13760
0,-88,-5324,17256,9728,944,14276,6800,13896,5428,8012,-15104,2160,-2924,228,14608,7476,5400,13644
0,124,-5320,17276,9712,948,14468,6792,14056,5348,8092,-15048,2272,-2832,404,14600,7600,5200,13632
0,16,-5172,17316,9716,692,14580,6700,13964,5304,8148,-14948,2308,-2896,372,14464,7576,5188,13708
0,-220,-5008,17384,9668,480,14608,6888,13936,5224,8248,-14812,2316,-2932,320,14508,7672,5388,13784
0,-260,-4776,17480,9688,448,14440,6956,13988,5184,8108,-14744,2504,-2912,364,14548,7576,5404,13724
0,-420,-4620,17128,9740,416,14360,7160,13876,5032,8208,-14612,2360,-2928,392,14624,7544,5076,13740
0,-420,-4632,17280,9640,372,14232,7376,14040,4964,8208,-14476,2584,-2732,396,14820,7564,5192,13664
0,-444,-4680,17084,9600,8,14068,7464,14016,4944,8408,-14592,2488,-2632,328,14708,7484,5180,13960
0,-544,-4520,16760,9676,-316,14048,7360,14228,4924,8264,-14348,2720,-2684,328,14544,7348,5308,13844
0,-576,-4376,17056,9728,-136,14076,7420,14340,4820,8528,-14436,2936,-2632,336,14468,7256,5196,14032
0,-520,-4260,16964,9580,-236,13888,7236,14428,4632,8480,-14316,2964,-2640,356,14384,7236,5036,13964
0,-760,-4476,16956,9688,-84,14044,7264,14420,4492,8596,-14176,3144,-2432,388,14636,7160,5140,13928
0,-704,-4624,17052,9816,16,13896,7340,14464,4552,8688,-14124,3080,-2464,304,14828,7128,5128,13984
0,-708,-4596,17088,9792,-56,13880,7324,14456,4384,8712,-14108,3128,-2492,212,14840,6960,5268,13764
0,-656,-4720,16976,9988,204,14112,7508,14288,4228,8704,-13860,3316,-2480,124,14916,6996,5332,14084
0,-628,-4880,16896,9932,200,14124,7556,14324,4228,8720,-13836,3276,-2504,-40,15040,7220,5396,13988
0,-556,-5068,17084,10044,284,13972,7448,14400,4156,8868,-13720,3208,-2692,-232,15176,6972,5612,14092
0,-500,-4992,17252,9936,408,13996,7528,14496,4424,8760,-13696,3420,-2716,-536,15160,7016,5740,14256
0,-456,-5020,17220,10044,464,13876,7464,14484,4028,8836,-13740,3472,-2752,-628,15180,6888,5868,14232
0,-592,-5124,17168,9952,212,14020,7384,14436,4200,8920,-13764,3440,-2772,-804,15124,6756,6076,14372
0,-700,-4964,17088,9944,-340,14144,7536,14472,4116,8940,-13856,3248,-2760,-916,15088,6648,6204,14260
0,-756,-4684,17104,9888,-220,14136,7464,14508,4160,8800,-13860,3416,-2744,-868,14924,6724,6260,14104
0,-864,-4560,16992,9928,-200,14108,7372,14704,4132,8772,-14020,3564,-2812,-784,14848,6740,6152,14028
0,-892,-4568,17080,9868,-268,13940,7304,14696,4100,8552,-14104,3300,-2708,-644,14728,6740,5936,14088
0,-868,-4640,17008,10048,-144,13824,7196,14636,4352,8568,-14256,3200,-2692,-552,14704,6904,5628,13836
0,-860,-4768,17160,10008,-100,13684,7052,14580,4388,8216,-14428,3232,-2700,-392,14708,6820,5520,13944
0,-860,-4892,16888,9964,196,13692,6892,14488,4552,8116,-14532,2988,-2592,-528,14904,6808,5396,13948
0,-908,-4908,16868,10012,248,13792,6640,14368,4688,7988,-14628,2820,-2548,-612,14620,6672,5428,14060
0,-840,-4888,16908,9988,312,13632,6560,14304,4940,7912,-14796,2724,-2520,-424,15156,6936,5616,14296
0,-836,-4976,17064,9956,176,13596,6412,14216,4976,7864,-14824,2680,-2308,-432,15192,6592,5676,14508
0,-872,-5000,16720,10068,172,13676,6328,14308,5112,7652,-14980,2608,-2252,-236,15428,6648,5264,14564
