trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-4540,1348,18580,6696,-5856,15068,7184,13444,6852,8516,-14448,708,-3528,1648,14736,7436,6928,13224
0,-4216,1176,18732,6688,-5532,15216,7224,13360,6716,8472,-14460,604,-3480,1628,14716,7576,7012,13264
0,-4108,1124,18752,6684,-5112,15300,7116,13372,6752,8424,-14536,468,-3520,1588,14756,7556,6840,13168
0,-3980,296,18436,6792,-4920,15112,7204,13332,7016,8520,-14620,472,-3548,1556,14668,7544,6940,13232
0,-4064,60,17984,6956,-4884,15224,7052,13312,6780,8460,-14552,472,-3696,1556,14848,7632,7020,12940
0,-4160,-296,17664,7232,-4760,15088,7060,13368,6820,8428,-14640,564,-3852,1488,14520,7564,7056,12868
0,-4468,-580,17332,7432,-4928,15048,6988,13380,6932,8444,-14516,556,-3984,1448,14508,7664,7284,12972
0,-4528,-888,17248,7752,-4812,14712,7012,13292,6956,8424,-14688,468,-4008,1300,14336,7716,7420,12956
0,-4784,-1180,17080,7724,-4684,14656,7012,13448,6992,8476,-14624,456,-3972,1356,14492,7560,7380,12868
0,-4896,-1172,16900,7980,-4736,14604,7032,13320,6952,8488,-14776,500,-3984,1260,14336,7652,7296,12684
0,-5116,-1004,16684,8052,-4776,14504,7092,13436,7048,8532,-14672,584,-4128,1068,14312,7624,7400,12632
0,-5204,-1112,16668,8076,-4996,14312,6992,13444,7040,8468,-14768,376,-4148,992,14288,7680,7412,12768
0,-5312,-860,16460,8028,-5192,14252,7120,13316,6920,8544,-14736,384,-4280,912,14228,7636,7512,12712
0,-5324,-580,16556,7812,-5276,14336,7008,13424,7032,8432,-14680,500,-4232,720,14324,7444,7548,12848
0,-5456,-144,16364,7836,-5568,14172,7148,13388,7044,8520,-14720,484,-4200,748,14328,7460,7636,12548
0,-5372,-16,16620,7832,-5756,14220,7116,13352,6944,8596,-14712,420,-4128,668,14504,7488,7640,12880
0,-5384,224,16608,7592,-5876,14232,7136,13336,6968,8532,-14712,504,-4216,716,14536,7404,7792,12992
0,-5304,404,16552,7596,-6008,14256,7176,13504,6980,8544,-14656,516,-4044,632,14524,7448,7712,13244
0,-5296,476,16612,7424,-5952,14180,7212,13416,6824,8476,-14624,468,-4008,868,14604,7500,7544,13112
0,-5208,524,16756,7516,-5996,14172,7176,13388,6848,8592,-14612,568,-3952,916,14656,7528,7524,13040
0,-5256,448,16720,7444,-6032,14288,7192,13332,6772,8588,-14568,616,-3860,1080,14480,7432,7364,12908
0,-5200,356,16820,7660,-5888,14228,7284,13372,6760,8564,-14624,580,-3908,1084,14516,7300,7228,13116
0,-5144,284,16824,7452,-5820,14256,7312,13376,6836,8532,-14616,496,-3816,1068,14516,7472,7472,13084
0,-5032,40,16824,7652,-5556,14332,7284,13368,6820,8756,-14584,508,-3832,1068,14520,7372,7400,12784
0,-5012,-224,16832,7636,-5468,14440,7288,13460,6820,8580,-14576,520,-3896,1080,14448,7428,7208,12888
0,-5156,-284,16804,7692,-5428,14268,7064,13500,6856,8480,-14620,524,-3964,932,14264,7584,7240,12716
0,-5220,-224,16756,7704,-5416,14328,7088,13540,6724,8548,-14544,604,-4104,1036,14160,7488,7316,12648
0,-5072,-296,16740,7916,-5344,14396,7160,13408,6920,8380,-14552,612,-4292,1036,14232,7556,7492,12616
0,-5076,-444,16572,7824,-5232,14432,7040,13388,6908,8340,-14560,536,-4172,1040,14260,7468,7600,12752
0,-5184,-496,16816,7844,-5304,14468,6932,13408,6900,8372,-14516,616,-4120,964,14340,7500,7648,12924
0,-5144,-416,16696,7824,-5408,14336,6956,13412,6816,8424,-14464,572,-4148,1024,14420,7664,7496,12900
0,-5008,-324,16712,7728,-5360,14384,6988,13488,6828,8436,-14528,496,-4124,972,14468,7544,7400,13060
0,-4932,-328,16948,7676,-5356,14444,6972,13428,6772,8524,-14556,576,-3972,1104,14360,7692,7376,12876
0,-4972,-336,16860,7572,-5364,14460,7212,13536,6864,8456,-14728,680,-3972,1180,14512,7612,7308,12796
0,-4976,-184,16856,7540,-5468,14512,7124,13472,6876,8564,-14732,516,-4024,1304,14448,7536,7268,12928
0,-4996,-276,16832,7680,-5428,14356,7184,13500,6976,8532,-14668,524,-3920,1160,14504,7452,7300,12936
0,-5152,-36,16804,7716,-5500,14344,7264,13492,6900,8624,-14748,516,-3992,1060,14376,7584,7352,12800
0,-5176,8,16828,7724,-5572,14412,7228,13416,6888,8640,-14692,608,-3936,1148,14400,7516,7232,12620
0,-5104,80,16804,7644,-5536,14392,7196,13524,6884,8596,-14720,516,-4144,1120,14440,7596,7392,12884
0,-5140,-116,16592,7736,-5480,14504,7236,13348,7020,8612,-14620,472,-4052,1012,14440,7440,7420,12788
0,-5216,-184,16620,7704,-5696,14276,7216,13452,6744,8564,-14672,568,-4136,832,14332,7504,7560,12836
0,-5196,-52,16732,7684,-5624,14220,7256,13284,6852,8608,-14548,428,-4188,808,14424,7540,7564,13076
0,-5092,140,16656,7888,-5608,14164,7168,13324,6976,8604,-14564,532,-4216,856,14592,7472,7668,12952
0,-5112,-4,16788,7728,-5592,14224,7128,13324,6768,8516,-14584,524,-4052,700,14544,7480,7684,12856
0,-5104,-108,16824,7688,-5584,14260,7132,13288,6860,8580,-14588,480,-4160,844,14304,7520,7624,12836
0,-5248,-108,16708,7676,-5540,14204,7136,13368,6820,8608,-14588,464,-4080,856,14344,7484,7600,12916
0,-5088,-128,16760,7804,-5520,14340,7124,13532,6808,8584,-14612,732,-4104,888,14396,7528,7536,12716
0,-5072,-124,16776,7656,-5548,14440,7224,13400,6936,8464,-14664,580,-4120,972,14424,7488,7444,12800
0,-5084,-204,16720,7724,-5596,14352,7128,13436,6756,8444,-14636,572,-4060,988,14296,7484,7412,12820
0,-5024,-128,16604,7724,-5548,14364,7116,13492,6776,8492,-14616,676,-4116,1016,14264,7596,7488,12892
0,-5080,-200,16796,7784,-5396,14276,7036,13388,6988,8388,-14712,388,-4108,1216,14164,7532,7440,12832
0,-5076,-216,16852,7684,-5448,14444,7156,13436,6864,8492,-14708,616,-4000,1492,14228,7552,7444,12900
0,-5068,-220,16920,7752,-5368,14340,7164,13404,6920,8512,-14564,388,-4092,1260,14460,7712,7304,12808
0,-4948,-232,16816,7708,-5232,14324,6992,13416,6856,8500,-14676,628,-4148,1096,14416,7668,7348,12760
0,-4928,-172,16812,7648,-5416,14324,7084,13432,6784,8392,-14736,488,-3980,1076,14376,7584,7256,12724
