trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,5240,-9052,14128,-9632,352,13788,8792,13960,1964,10088,-13640,960,-5116,-60,16732,-8800,-1944,12136
0,5188,-9188,14284,-9636,288,13744,8792,14124,1856,10276,-13664,820,-5128,-28,16808,-8768,-1960,12000
0,5216,-9180,14096,-9552,296,13880,8768,14136,1784,10192,-13580,780,-5236,80,16748,-8808,-1948,12120
0,5200,-9352,14160,-9624,344,13864,8684,14080,1900,10156,-13620,1064,-5280,16,16824,-8816,-2000,12000
0,5168,-9136,14352,-9604,392,13792,8588,14220,1908,10148,-13636,904,-5276,-32,16632,-8864,-2000,11864
0,5104,-9212,14372,-9692,436,13760,8660,14200,1796,10152,-13680,1000,-5344,-244,16660,-8796,-2072,12056
0,4952,-9104,14260,-9612,356,13752,8640,14092,1836,10100,-13696,884,-5328,-216,16720,-8740,-2248,12120
0,4856,-9040,14256,-9652,396,13760,8688,14212,1864,10048,-13824,920,-5308,-188,16888,-8864,-2232,12176
0,4940,-9048,14164,-9600,432,13652,8572,14148,1852,10020,-13848,752,-5072,-296,16768,-8848,-2272,12212
0,4968,-9080,14104,-9496,336,13520,8616,14152,1992,10064,-13860,892,-5200,-304,16720,-8848,-2232,12156
0,4908,-8864,13924,-9412,412,13600,8684,14180,1840,10108,-13896,820,-5252,-208,16668,-8816,-2196,11972
0,4932,-8888,14052,-9516,452,13444,8660,14164,1920,10072,-13920,844,-5184,-136,16612,-8820,-2120,11884
0,4792,-8816,13852,-9520,456,13428,8580,14188,1908,9952,-13824,788,-5164,-140,16624,-8908,-2036,12088
0,4824,-8780,13960,-9332,512,13492,8600,14196,1976,10004,-13848,912,-5252,-208,16728,-8848,-2016,11964
0,4856,-8848,13900,-9404,388,13604,8532,14076,1920,9964,-13800,808,-5260,-52,16660,-8820,-1944,12020
0,4872,-8884,14080,-9296,356,13764,8528,14188,1700,9956,-13928,756,-5304,-8,16624,-8844,-1872,11964
0,5096,-9016,14008,-9488,148,13748,8620,14136,2024,9892,-13812,776,-5312,24,16728,-8992,-1928,12000
0,5300,-9188,14072,-9552,36,13948,8448,14032,2008,9996,-13896,760,-5400,44,16584,-9064,-1828,12004
