trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,3120,-6916,15576,-8976,2312,14120,8700,13940,944,10008,-14120,1752,-4872,-3416,16780,-9656,-4508,10976
0,3220,-7160,15740,-9024,2196,14248,8728,14076,1104,10052,-14172,1732,-4892,-2784,16720,-9648,-4332,11052
0,3208,-7208,15680,-8976,1948,14188,8676,14056,828,10128,-14120,1796,-4812,-2540,16724,-9796,-3936,11232
0,3336,-7348,15624,-8832,1716,14120,8792,13944,1040,10168,-13964,1776,-4880,-2312,17000,-9844,-3740,11400
0,3496,-7584,15416,-8872,1648,14300,9012,13952,960,10300,-13940,1844,-4996,-1940,17096,-9888,-3612,11072
0,3560,-7704,15532,-8956,1556,14312,8820,14060,1040,10156,-14064,1576,-4940,-1648,16908,-9656,-3284,11352
0,3552,-7872,15544,-8784,1644,14156,8788,14116,1016,10308,-14012,1828,-4936,-1468,16952,-9524,-2736,11388
0,3716,-7840,15624,-8848,1620,14344,8840,14124,808,10192,-14016,1780,-5124,-1320,16656,-9564,-2616,11560
0,3612,-7788,15516,-8880,1492,14152,9116,14040,772,10220,-14052,1880,-5052,-1128,16964,-9524,-2464,11704
0,3504,-7900,15516,-9124,1356,14112,9040,14124,876,10040,-13968,1860,-4980,-1132,17052,-9524,-2524,11620
0,3396,-8004,15280,-9164,1376,13984,9092,14016,828,10204,-14000,1788,-4956,-1116,17144,-9416,-2484,11752
0,3108,-8036,15028,-9132,1500,13896,9080,14000,768,10144,-13928,1868,-4780,-936,17312,-9348,-2468,11608
0,3032,-7800,15024,-9104,1624,13792,9064,14048,692,10100,-13800,1948,-4796,-1156,17228,-9376,-2536,11628
0,2976,-7648,15000,-9072,1744,13760,9040,13972,824,10088,-13676,2132,-4704,-1424,16988,-9400,-2760,11516
0,2888,-7564,15016,-9052,1784,13760,8988,13988,704,10164,-13608,2040,-4964,-1548,17036,-9548,-2940,11564
0,3040,-7576,15196,-9132,1824,13712,8832,13972,688,10188,-13560,1960,-5016,-1724,16856,-9560,-3076,11308
0,2916,-7516,15112,-9012,1792,13728,9032,13900,608,10372,-13400,2200,-5032,-1864,16752,-9684,-3232,11236
0,3048,-7604,15080,-8956,1696,13968,9240,13788,640,10500,-13232,2084,-4996,-1976,16816,-9648,-3340,11148
0,3200,-7664,14960,-8916,1608,13860,9236,13684,680,10464,-13140,2240,-5288,-2016,16744,-9768,-3244,11188
0,3292,-7840,14968,-8868,1540,13956,9268,13624,644,10532,-13100,2108,-5208,-2072,16304,-9832,-3256,10996
0,3276,-7884,15100,-8960,1492,13804,9196,13592,484,10672,-13052,2040,-5372,-1948,16224,-9820,-3308,10920
0,3600,-8036,15072,-8896,1304,13948,9284,13516,508,10748,-12944,2104,-5308,-1904,16216,-9848,-3248,10864
0,3736,-8180,15156,-8868,1064,14084,9208,13532,628,10840,-12864,2196,-5292,-2020,16096,-9816,-3272,10724
0,3840,-8348,15220,-8896,996,14416,9184,13548,408,10844,-12908,2164,-5364,-1808,16256,-9756,-3092,10556
0,4060,-8472,15424,-8876,972,14452,9500,13396,536,10812,-12820,2160,-5280,-1624,16356,-9760,-2808,10772
0,4336,-8660,15504,-8908,848,14668,9524,13408,604,11008,-12628,2220,-5168,-1344,16360,-9740,-2720,10960
0,4440,-8756,15704,-8896,720,14828,9548,13224,456,11060,-12724,2184,-5236,-1364,16428,-9652,-2660,11104
0,4732,-8952,15636,-8964,384,14920,9720,13180,408,10964,-12820,2296,-5008,-1136,16652,-9668,-2464,11388
0,4876,-8988,15828,-9012,456,14952,9780,13052,528,11228,-12612,2040,-5036,-1084,16968,-9596,-2340,11456
0,4812,-9000,15808,-8964,264,15088,9936,13184,444,11180,-12708,2236,-4896,-1052,17024,-9520,-2368,11436
0,4896,-8896,15732,-8944,264,14876,10080,13052,588,11280,-12760,2084,-4996,-996,17052,-9440,-2396,11560
0,4912,-8824,15740,-8944,260,14936,10140,13236,520,11436,-12628,2216,-4872,-1092,16956,-9540,-2412,11336
0,4860,-8716,15736,-8816,268,14908,10308,13128,480,11392,-12652,2340,-5016,-1180,16964,-9552,-2408,11180
0,4804,-8520,15736,-8844,440,14952,10448,12896,380,11284,-12988,2324,-4868,-1244,16880,-9540,-2516,11204
0,4720,-8292,15552,-8688,576,14864,10476,13024,512,11308,-12760,2360,-4996,-1720,16904,-9568,-2916,11124
0,4592,-8024,15608,-8720,868,14732,10460,13052,404,11368,-12696,2332,-5048,-1928,16540,-9540,-3120,11012
0,4332,-7956,15476,-8792,984,14580,10608,13148,344,11300,-12792,2440,-5060,-2092,16444,-9652,-3420,10700
0,4152,-7816,15404,-8568,1096,14624,10476,13060,320,11264,-12568,2488,-4996,-2492,16352,-9716,-3560,10880
0,3952,-7564,15440,-8556,1156,14304,10536,13128,320,11256,-12364,2412,-4964,-2728,16224,-9664,-3816,10544
0,3828,-7380,15332,-8528,1404,14236,10472,13160,188,11208,-12388,2464,-5012,-2872,16320,-9748,-3940,10644
0,3604,-7180,15220,-8572,1512,14176,10412,13308,260,11352,-12256,2404,-5020,-3212,16124,-9776,-4060,10648
0,3520,-7148,15240,-8700,1684,14088,10456,13236,184,11460,-12436,2636,-5136,-3208,16264,-9884,-4336,10624
0,3424,-7048,15140,-8728,1784,14020,10444,13280,220,11364,-12332,2488,-5132,-3324,16292,-9872,-4440,10684
0,3432,-7012,15120,-8596,1896,13980,10232,13352,156,11372,-12388,2636,-5072,-3428,16332,-9992,-4552,10788
0,3280,-7056,15244,-8680,1960,13768,10176,13456,180,11432,-12440,2688,-5112,-3348,16384,-9964,-4560,10796
0,3308,-7032,15284,-8576,2008,13896,10052,13460,140,11228,-12504,2532,-5128,-3332,16528,-10000,-4340,10924
0,3372,-7132,15280,-8612,1928,14000,9936,13584,212,11176,-12532,2524,-5116,-3104,16572,-9836,-4212,10964
0,3380,-7320,15336,-8684,1820,13996,9908,13472,216,11136,-12664,2488,-5072,-2752,16560,-9792,-3972,11140
0,3352,-7440,15644,-8764,1740,13968,9852,13468,236,11084,-12752,2452,-5104,-2364,16512,-9788,-3588,11104
0,3640,-7788,15528,-8900,1652,13912,9616,13636,296,11184,-12760,2376,-5120,-2076,16728,-9784,-3468,11172
0,3640,-7996,15580,-9028,1404,13952,9556,13644,400,11084,-12816,2348,-5136,-1688,16836,-9672,-3156,11368
0,3720,-7960,15496,-9352,1388,14152,9704,13624,548,11008,-12940,2216,-5080,-1436,16860,-9528,-2860,11436
0,3688,-8292,15296,-8968,1332,14136,9564,13456,536,10936,-13108,2192,-5116,-1112,16980,-9416,-2576,11540
0,3760,-8384,15324,-9056,1156,13884,9412,13596,616,10876,-13172,2144,-5072,-980,17012,-9504,-2392,11752
0,3688,-8508,15080,-9192,984,14204,9548,13452,616,10868,-13296,1872,-5168,-956,16848,-9328,-2160,11836
0,3644,-8592,14816,-9368,792,13988,9456,13520,752,10740,-13472,2036,-5080,-696,16740,-9244,-2232,11908
0,3716,-8848,14904,-9232,488,13944,9624,13280,956,10844,-13332,1856,-4940,-660,16888,-9268,-2036,11832
0,3696,-8920,14776,-9288,488,13924,9560,13476,776,10756,-13300,1844,-4848,-672,16908,-9136,-2020,11836
0,3556,-8860,14712,-9368,560,13928,9460,13308,780,10752,-13344,1856,-4936,-376,16852,-9256,-1976,11896
0,3660,-8752,14528,-9308,460,13996,9608,13380,800,10800,-13316,1916,-4892,-600,16868,-9332,-1872,11812
0,3724,-8820,14680,-9348,436,14072,9628,13168,888,10680,-13404,1872,-5036,-580,16824,-9300,-2060,11788
0,3732,-8792,14624,-9228,564,14068,9488,13244,972,10740,-13396,1716,-5012,-636,16840,-9260,-2036,11660
0,3692,-8516,14884,-9204,696,14076,9556,13200,964,10900,-13236,1900,-5004,-776,16812,-9440,-2260,11448
0,3780,-8468,14768,-9252,640,13992,9584,13116,868,10952,-13168,1908,-5052,-920,16828,-9568,-2484,11456
0,3804,-8356,15016,-8948,812,14020,9568,13224,812,10888,-13252,1920,-5172,-1244,16660,-9608,-2728,11356
0,3804,-8316,15232,-8940,904,14272,9632,13224,800,10956,-13104,1760,-4904,-1652,16756,-9580,-2668,11248
0,3960,-8288,15152,-8832,1056,14232,9564,13312,708,11036,-13048,1892,-5232,-1724,16604,-9632,-2928,11080
0,3912,-8144,15180,-8768,1000,14436,9800,13264,756,11020,-13140,1952,-5072,-1780,16620,-9788,-3032,11152
0,4096,-8080,15292,-8704,1028,14536,9792,13304,808,11056,-13044,2008,-5196,-1948,16544,-9736,-3212,11228
0,4124,-8088,15484,-8748,1076,14440,9820,13360,868,11124,-12984,2096,-5268,-2040,16608,-9736,-3280,11128
0,4244,-8024,15460,-8672,1072,14548,9772,13328,740,11060,-13036,2024,-5344,-2268,16580,-9788,-3304,11192
0,4216,-7968,15488,-8652,1248,14544,9884,13416,616,11172,-12880,2112,-5304,-2360,16664,-9960,-3376,10984
0,4220,-7900,15388,-8596,1156,14592,9876,13336,572,11236,-12908,2052,-5240,-2468,16640,-9944,-3548,10940
0,4372,-7852,15500,-8516,1168,14700,9912,13408,580,11228,-12800,2304,-5296,-2408,16836,-9904,-3576,10900
0,4276,-7972,15516,-8648,1032,14628,9936,13348,464,11156,-12732,2320,-5244,-2324,16472,-9968,-3680,10780
0,4240,-7912,15320,-8496,1048,14680,10000,13468,612,11312,-12720,2292,-5364,-2356,16476,-9824,-3528,11084
0,4260,-7908,15300,-8632,1064,14616,9888,13388,456,11280,-12620,2324,-5216,-2456,16444,-9900,-3584,10788
0,4248,-7996,15236,-8588,1112,14548,10080,13360,452,11324,-12636,2088,-5216,-2484,16584,-9740,-3580,10780
0,4280,-7968,15448,-8692,980,14592,10044,13384,472,11364,-12652,2308,-5044,-2264,16604,-9796,-3508,10880
0,4224,-7948,15284,-8592,1108,14576,9956,13292,532,11232,-12620,2360,-5012,-2172,16584,-9664,-3560,10928
0,4112,-8052,15268,-8764,1056,14232,10012,13320,484,11344,-12768,2360,-5076,-2204,16620,-9632,-3516,11056
0,3912,-8008,15112,-8756,1124,14432,10056,13492,436,11172,-12704,2260,-4976,-2236,16552,-9592,-3380,10920
0,3808,-7936,15056,-8684,1152,14244,10016,13356,476,11092,-12828,2204,-4928,-2172,16424,-9584,-3328,11236
0,3716,-7888,14984,-8740,1056,14108,9964,13340,384,11184,-12808,2220,-4940,-2056,16644,-9644,-3380,11156
0,3648,-7984,14940,-8776,1196,14116,10008,13324,532,11144,-12736,2240,-4876,-2016,16644,-9520,-3332,11324
0,3592,-7912,14916,-8808,1124,14036,9992,13196,520,11016,-12824,2260,-4980,-1908,16600,-9428,-3096,11268
0,3608,-7932,14948,-8844,976,13968,10044,13416,552,11000,-12744,2264,-5084,-1908,16732,-9568,-3060,11476
0,3672,-8032,15112,-8888,952,13868,10048,13364,448,10900,-12960,2272,-4948,-1900,16760,-9552,-2948,11536
0,3748,-8080,15120,-8868,1088,14212,9944,13216,400,10992,-12848,2080,-4852,-1580,16896,-9612,-3144,11632
0,3844,-7992,15076,-8876,976,14296,9888,13384,536,11104,-12896,2268,-4912,-1376,16728,-9584,-3088,11284
0,3840,-8136,15212,-8852,1092,14284,9936,13404,392,11028,-12924,2388,-4840,-1500,16660,-9400,-2804,11056
0,3972,-8152,15372,-8820,1012,14536,9844,13448,632,11112,-12996,2236,-4960,-1704,16600,-9468,-2760,11088
0,3996,-8264,15328,-8840,1008,14448,9820,13448,664,10940,-12920,2212,-4952,-1752,16464,-9592,-3016,11100
0,4056,-8400,15236,-8848,916,14352,9860,13328,504,10880,-12972,2248,-4944,-1748,16808,-9544,-3144,11296
0,4104,-8380,15300,-8864,832,14424,9840,13372,612,10936,-12920,2232,-4952,-1664,17140,-9560,-3348,11540
0,4088,-8472,15252,-8944,804,14480,9748,13312,448,10932,-12840,2212,-4892,-1684,17272,-9544,-3296,11452
0,4172,-8344,15196,-8844,772,14396,9752,13416,480,11000,-12788,2184,-4872,-1612,17260,-9592,-3120,11332
0,4220,-8436,15284,-8904,712,14444,9800,13484,692,11060,-12892,2280,-4916,-1600,16964,-9520,-3120,11252
0,4204,-8508,15436,-8860,832,14404,9508,13424,636,10984,-12976,2084,-4976,-1572,16836,-9640,-2860,11432
0,3964,-8348,15088,-8932,876,14372,9600,13432,584,11032,-12896,2172,-5004,-1532,16592,-9588,-2868,11464
0,3832,-8260,15120,-8972,896,14324,9648,13424,676,11092,-12904,2096,-5144,-1512,16408,-9636,-2812,11416
0,3840,-8204,15116,-8956,1044,14128,9828,13400,624,11100,-12952,2032,-5244,-1580,16364,-9648,-2628,11284
0,3748,-8132,14956,-8888,1064,14304,9852,13312,676,11168,-13020,1912,-5120,-1592,16524,-9740,-2732,11196
0,3672,-7892,14888,-8928,1200,13996,9828,13352,816,11148,-13000,1944,-5196,-1608,16404,-9748,-2816,11240
0,3640,-7988,14856,-8772,1068,14068,9984,13360,832,11196,-13020,2000,-5140,-1692,16688,-9748,-3072,11280
0,3568,-7788,14940,-8808,1164,13864,9992,13268,800,11292,-12976,1948,-4992,-1836,16604,-9640,-2996,11240
0,3644,-7800,14928,-8820,1332,13972,9912,13200,764,11092,-12984,2032,-4880,-1660,16536,-9500,-3068,11188
0,3572,-7536,14996,-8704,1400,13992,9916,13272,632,11072,-13020,1960,-4872,-1668,16704,-9532,-3160,11356
0,3588,-7584,15176,-8832,1384,14076,9968,13192,732,11024,-13008,1976,-4888,-1784,16764,-9428,-3384,11304
0,3532,-7608,15132,-8652,1492,14108,9944,13228,740,11084,-13040,2040,-4632,-1984,16732,-9528,-3328,11368
0,3784,-7504,15344,-8772,1524,14264,9900,13212,768,11100,-12956,2092,-4628,-1624,16896,-9556,-3364,11508
0,3824,-7700,15248,-8844,1400,14224,9896,13340,676,10956,-13012,2036,-4756,-1876,17048,-9380,-3496,11520
0,3880,-7776,15408,-8752,1368,14332,9932,13260,652,11044,-12972,2104,-4724,-1724,16792,-9404,-3332,11404
0,4124,-7876,15468,-8808,1284,14492,9860,13320,648,11068,-12916,2060,-4832,-1668,16980,-9536,-3248,11352
0,4136,-8108,15640,-8792,1080,14516,9804,13392,600,11104,-12856,2236,-4748,-1580,16928,-9676,-3320,11316
0,4376,-8220,15452,-8772,892,14468,9820,13364,396,11060,-12796,2244,-4896,-1420,16900,-9736,-3336,11152
0,4380,-8408,15428,-8856,868,14392,9796,13416,580,11108,-12844,2368,-4972,-1384,16832,-9624,-3212,11128
0,4296,-8448,15368,-8792,700,14656,9900,13396,432,10992,-12800,2388,-4988,-1248,16656,-9828,-3056,11104
0,4472,-8528,15392,-8832,732,14544,9792,13424,548,11008,-12764,2360,-5144,-1420,16708,-9692,-3008,11184
0,4276,-8520,15216,-8848,652,14396,9872,13452,404,11196,-12756,2320,-5012,-1428,16772,-9816,-2948,11088
0,4284,-8416,15124,-8796,684,14576,9836,13408,476,11260,-12756,2388,-5044,-1500,16752,-9612,-2972,11148
0,4132,-8356,15148,-8788,808,14508,9796,13552,448,11104,-12768,2284,-5068,-1568,16428,-9772,-2800,10944
0,4128,-8296,15016,-8868,920,14380,9852,13544,384,11052,-12804,2276,-5052,-1432,16412,-9744,-2944,10984
0,4028,-8252,14900,-8688,868,14244,9796,13520,504,10996,-12912,2240,-5132,-1244,16448,-9720,-3068,11124
0,4000,-8128,14980,-8768,864,14272,9868,13408,452,11084,-12840,2264,-4972,-1216,16652,-9644,-3128,10976
0,3680,-7972,14992,-8816,1012,14244,9868,13464,392,11064,-12824,2028,-5040,-1416,16684,-9664,-3056,11092
0,3764,-7792,15060,-8724,1180,14248,9900,13360,600,11132,-12816,2260,-4904,-1540,16848,-9696,-3064,11152
0,3692,-7804,15040,-8744,1364,14160,9776,13284,556,11080,-12856,2104,-4804,-1532,16728,-9652,-3288,11160
0,3704,-7696,15104,-8696,1260,14072,9784,13328,556,11052,-12872,2164,-4856,-1444,16912,-9648,-3424,11192
0,3808,-7780,15156,-8736,1244,14188,9900,13344,692,11236,-12944,2152,-4852,-1584,16932,-9648,-3432,11284
0,3856,-7836,15056,-8848,1236,14228,9732,13324,712,11104,-12844,2056,-4772,-1652,16788,-9620,-3432,11372
0,3940,-7740,15300,-8716,1240,14356,9792,13220,676,11196,-12916,2000,-4764,-1788,17012,-9512,-3512,11400
0,3832,-7912,15336,-8684,1188,14288,9916,13276,660,11184,-12924,2132,-4828,-1768,16816,-9608,-3592,11084
0,3992,-7944,15304,-8692,1104,14400,9956,13264,804,11040,-13044,2220,-4772,-1744,16904,-9600,-3492,11276
0,4044,-8068,15372,-8876,1108,14444,9928,13364,764,11216,-13016,2096,-4960,-1772,17104,-9684,-3500,11300
0,4076,-8232,15368,-8832,1028,14436,9988,13244,672,11052,-13020,1936,-4756,-1716,16784,-9584,-3460,11304
0,4112,-8156,15420,-8836,1020,14336,10028,13340,660,11196,-12908,1988,-4856,-1660,16780,-9548,-3448,11428
0,3972,-8204,15296,-8804,916,14192,10024,13304,572,11152,-12880,2140,-4672,-1696,16724,-9536,-3152,11188
0,3988,-8124,15348,-8876,1040,14392,9924,13284,588,10996,-12880,2076,-4760,-1600,16748,-9560,-3180,11056
0,4040,-8136,15124,-8760,1004,14296,9900,13376,576,11176,-12904,2168,-4820,-1464,16552,-9592,-3212,10960
0,3964,-8024,15240,-8768,1036,14348,9816,13372,644,11136,-12820,2280,-4968,-1388,16736,-9524,-3328,11016
0,3996,-8156,15192,-8796,1056,14152,9752,13400,604,11040,-12812,2216,-4980,-1468,16736,-9720,-3336,11116
0,3752,-8096,15168,-8824,1168,14280,9864,13292,644,11076,-12716,2324,-4776,-1472,16648,-9604,-3160,11092
0,3960,-8072,15180,-8856,1072,14244,9752,13396,504,11012,-12848,2224,-4984,-1620,16924,-9652,-3292,11300
0,3996,-8064,15040,-8728,1128,14368,9728,13380,508,10896,-12712,2220,-4872,-1496,16760,-9768,-3300,11300
0,3820,-8108,15132,-8756,992,14352,9764,13312,596,10988,-12776,2256,-4872,-1536,16624,-9580,-3200,11248
0,4056,-8024,15004,-8940,1084,14224,9748,13412,448,11068,-12840,2256,-4880,-1572,16764,-9792,-3232,11156
0,3956,-8008,15116,-8824,1040,14248,9772,13388,796,11136,-12916,2140,-4848,-1380,16744,-9604,-3232,11284
0,4004,-8100,15048,-8832,1060,14164,9636,13472,684,11060,-12864,2184,-4824,-1480,16780,-9600,-3076,11204
0,4080,-8084,15200,-8808,1012,14384,9748,13408,604,11100,-12844,2104,-4840,-1464,16864,-9632,-3052,11296
0,4120,-8260,15276,-8808,960,14304,9760,13440,664,11120,-12964,2216,-4896,-1484,16824,-9616,-3164,11312
0,4120,-8288,15284,-8760,944,14256,9964,13308,700,11148,-12988,2024,-4732,-1592,16724,-9596,-3120,11268
0,4144,-8184,15328,-8840,980,14440,9752,13332,616,11032,-12988,1964,-4796,-1512,16964,-9512,-3124,11408
0,4048,-8220,15232,-8744,912,14488,9868,13364,604,11184,-12912,2172,-4776,-1504,16680,-9496,-3224,11256
0,4056,-8168,15200,-8848,956,14212,9920,13352,664,11104,-12944,2036,-4716,-1656,16680,-9612,-3272,11148
0,3924,-8244,15024,-8944,1076,14348,9944,13344,572,11148,-12888,2108,-4824,-1672,16908,-9656,-3296,11136
0,4004,-8084,15108,-8816,1092,14284,9832,13272,564,11084,-13052,2044,-4872,-1560,16768,-9496,-3476,11144
0,3920,-7956,15112,-8844,1108,14416,9880,13348,456,11092,-12904,2136,-4816,-1692,16780,-9632,-3400,11068
0,3904,-8040,15140,-8784,1092,14324,9780,13284,744,11064,-13028,2152,-4824,-1952,16760,-9628,-3300,11160
0,3968,-7824,15204,-8816,1204,14332,9876,13292,656,11076,-12828,2132,-4800,-1664,16660,-9600,-3492,11096
0,4180,-7936,15244,-8728,1172,14480,9956,13228,472,11040,-12956,2180,-4820,-1904,16604,-9612,-3460,11080
0,4032,-7936,15100,-8716,1192,14328,9804,13336,484,11136,-12840,2120,-4844,-1904,16772,-9700,-3424,11080
0,4056,-7916,15160,-8728,1056,14464,9820,13376,584,11148,-12792,2172,-4944,-1884,16684,-9676,-3388,11148
0,4112,-7944,15288,-8704,1012,14368,9816,13400,532,11084,-12800,2408,-4988,-1756,16640,-9608,-3380,11196
0,4176,-8020,15376,-8740,1080,14508,9752,13436,504,11200,-12744,2152,-4936,-1836,16780,-9684,-3408,11196
0,4156,-8156,15272,-8752,948,14588,9836,13328,456,11128,-12808,2216,-4820,-1296,16700,-9732,-3316,11080
0,4232,-8100,15272,-8640,952,14340,9868,13368,456,11100,-12740,2064,-5008,-1636,16824,-9756,-3320,10944
0,4144,-8132,15348,-8772,1036,14432,9752,13392,528,11116,-12876,2208,-4940,-1604,16780,-9652,-3444,11052
0,4160,-8216,15204,-8752,964,14440,9876,13460,468,11104,-12908,2224,-5016,-1816,16828,-9800,-3360,11212
0,4036,-8228,15220,-8812,940,14396,9736,13440,608,11112,-12904,2052,-4864,-1736,16660,-9604,-3412,11232
0,4096,-8144,15108,-8916,1000,14416,9856,13428,700,11156,-12896,2188,-4784,-1768,16708,-9552,-3440,11196
0,4036,-8120,15200,-8900,1080,14412,9780,13408,564,11064,-12932,2032,-4920,-1800,16756,-9576,-3380,11260
0,3940,-8136,15188,-8800,1096,14340,9772,13300,588,11116,-13012,2008,-4792,-1768,16692,-9668,-3256,11240
0,3968,-8112,15232,-8904,1100,14328,9828,13336,656,11136,-13068,2064,-4800,-1804,16980,-9544,-3264,11152
0,3944,-8080,15084,-8888,1140,14216,9848,13400,720,11060,-13004,1936,-4856,-1612,16804,-9560,-3300,11476
0,3804,-8060,15264,-8880,1100,14104,9820,13300,684,11004,-12880,2100,-4904,-1712,16852,-9604,-3228,11256
0,3912,-8100,15048,-8808,1276,14312,9876,13396,656,10992,-12972,1976,-4832,-1652,16952,-9584,-3196,11280
0,3964,-8044,15024,-8788,1228,14104,9788,13312,552,11124,-12976,2108,-4944,-1664,16852,-9548,-3236,11368
0,3936,-8048,15184,-8820,1152,14124,9832,13276,540,11056,-12988,1948,-4956,-1552,16832,-9620,-3280,11260
0,3808,-7956,15144,-8828,1032,14196,9784,13428,540,11016,-12928,2068,-4812,-1572,16836,-9572,-3308,11296
0,3992,-8020,15148,-8940,1060,14252,9840,13352,640,11108,-12980,2016,-4724,-1652,16680,-9436,-3188,11148
0,3912,-8160,15036,-8864,1028,14156,9844,13396,640,11084,-12892,2052,-4832,-1604,16736,-9404,-3060,11052
0,3920,-8076,15196,-8732,992,14344,9748,13468,620,11076,-12956,2176,-4824,-1752,16636,-9532,-3300,11248
0,3988,-8048,15076,-8760,1072,14260,9868,13464,580,11100,-12928,2132,-4892,-1724,16852,-9568,-3364,11300
0,4076,-8120,15336,-8784,992,14256,9812,13412,668,11132,-12868,2028,-4896,-1688,16720,-9556,-3352,11216
0,4052,-8156,15068,-8796,1056,14336,9832,13416,632,11016,-12876,2052,-4984,-1636,16708,-9600,-3152,11060
0,4124,-8080,15328,-8876,1016,14272,9836,13244,420,11044,-12916,2060,-4984,-1812,16464,-9700,-3212,11068
0,4128,-8148,15228,-8736,972,14344,9788,13312,524,11032,-12860,2156,-5016,-1748,16556,-9592,-3384,11016
0,4144,-8112,15136,-8708,876,14244,9664,13404,536,10976,-12868,2292,-4952,-1828,16672,-9656,-3524,11096
0,4120,-8168,15276,-8840,1112,14400,9760,13360,472,11060,-12940,1992,-4900,-1904,16688,-9760,-3388,11100
0,4032,-8128,15224,-8836,1080,14388,9792,13452,580,11116,-12972,2192,-4956,-1856,16672,-9652,-3316,11088
0,4064,-8104,15196,-8740,1108,14448,9832,13456,608,11116,-12940,2108,-4956,-1916,16720,-9596,-3284,11116
0,4056,-7996,15228,-8660,1064,14424,9868,13444,564,11100,-12884,1940,-4888,-1896,16896,-9696,-3420,11376
0,4144,-7892,15228,-8784,1040,14312,9780,13436,528,11204,-12904,2104,-4836,-1848,16900,-9660,-3496,11200
0,4120,-8044,15180,-8864,1132,14308,9852,13428,520,11084,-12848,2236,-5024,-1680,16720,-9624,-3364,11308
0,3948,-7948,15304,-8724,1164,14320,9768,13396,600,11088,-12896,1940,-4896,-1684,16636,-9672,-3228,11204
0,3948,-8040,15176,-8660,1152,14248,9920,13324,496,11088,-12924,1952,-4948,-1784,16696,-9544,-3256,11240
0,3896,-7932,15112,-8860,1144,14344,9820,13192,604,11084,-12896,2080,-4844,-1672,16880,-9596,-3264,11328
0,4028,-7904,15128,-8780,1176,14296,9812,13264,604,11228,-12860,2028,-4864,-1552,16836,-9576,-3324,11024
0,3912,-7968,15156,-8724,1212,14468,9936,13308,548,11076,-12884,2068,-4884,-1628,16528,-9508,-3180,11044
0,3932,-8004,15252,-8708,1212,14264,9756,13316,548,11100,-12860,2076,-4888,-1780,16552,-9448,-3140,10864
0,3880,-7996,15308,-8724,1140,14232,9820,13364,624,11060,-12924,2204,-4896,-1784,16648,-9540,-3284,10980
0,4048,-7880,15220,-8816,932,14320,9816,13452,492,11004,-12940,2236,-5004,-1840,16592,-9708,-3472,11288
0,3944,-8072,15116,-8760,1008,14260,9724,13408,472,11040,-12800,2284,-4944,-1852,16908,-9652,-3504,11284
0,3900,-8204,15064,-8820,976,14284,9780,13244,560,10984,-12792,2088,-4856,-1776,16944,-9556,-3404,11364
0,4068,-8136,15184,-8728,1052,14288,9764,13304,552,11092,-12824,2236,-4776,-1568,16860,-9644,-3288,11172
0,4124,-8136,15328,-8868,900,14544,9752,13376,604,11100,-12784,2136,-4892,-1440,16780,-9580,-3144,11036
0,4176,-8228,15324,-8812,1040,14404,9616,13380,476,10968,-12888,2212,-4940,-1424,16848,-9576,-3120,11224
0,4064,-8204,15180,-8720,984,14268,9672,13420,536,11124,-12828,2164,-4988,-1452,16736,-9532,-3076,11272
0,4104,-8360,14980,-8860,1008,14480,9812,13440,548,11112,-12964,2224,-4912,-1452,16720,-9724,-3028,11380
0,4084,-8292,15144,-8776,1008,14340,9892,13420,648,11040,-12960,2244,-4988,-1460,16704,-9640,-3104,11244
0,4044,-8204,15204,-8728,1076,14316,9800,13360,704,11044,-12988,2040,-4924,-1572,16704,-9660,-3072,11156
0,4072,-8216,15164,-8844,988,14280,9972,13336,556,11064,-12952,2164,-4872,-1576,16796,-9660,-3100,11156
