trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,1800,-6332,17236,-6328,-508,14504,8968,14644,-800,10460,-13080,3428,-2488,-5112,16940,-7712,-8212,8176
0,2132,-6268,16828,-5972,-904,14736,8800,14232,-960,10516,-12772,3424,-2304,-5764,16568,-7228,-8396,8272
0,2320,-6028,16404,-6276,-908,14924,9448,14908,-916,10264,-12896,3488,-2128,-6136,16192,-7096,-9232,8708
0,2096,-5832,16292,-6588,-1180,15384,10064,15096,-1156,9960,-12848,3668,-1876,-7520,16292,-7188,-9428,9036
0,1804,-6148,16056,-6908,-1508,15664,10064,15144,-1368,9912,-12440,3988,-1676,-7984,16292,-7300,-9804,9476
0,1720,-6620,15968,-7400,-1772,15708,10008,14860,-1752,9920,-12468,4376,-1648,-8580,16316,-7204,-10084,9836
0,1304,-7188,15868,-7884,-2004,15460,10112,14604,-2108,9528,-12492,5100,-1224,-8880,16304,-7188,-10284,9792
0,888,-7808,15852,-8212,-2040,15060,10368,14496,-2800,9496,-12068,5696,-1140,-9424,15940,-7008,-10484,9596
0,340,-8216,15736,-8824,-1628,14892,10344,14604,-3188,9632,-11480,5952,-1040,-9876,15724,-7048,-10388,9472
0,-256,-8616,15540,-9356,-1364,14580,10040,14696,-3636,9472,-11052,6072,-776,-10032,15396,-6928,-10196,9060
0,-720,-8912,15476,-9724,-1384,14528,10140,14692,-3572,9476,-10836,6188,-628,-9812,15224,-6712,-10088,8768
0,-1212,-8868,15548,-10156,-1076,14156,10292,14728,-3960,8792,-10656,6844,40,-9260,15156,-6160,-9620,8552
0,-1528,-9220,15460,-10532,-1056,13952,9852,15024,-4072,9180,-10644,6812,128,-8984,15008,-5500,-9228,8636
0,-1860,-9268,15424,-10576,-1052,13860,9872,14996,-4220,9588,-10436,6700,692,-8344,14600,-5352,-9128,8292
0,-1800,-9312,15332,-10548,-1176,13672,9628,15016,-4136,9520,-10264,6944,744,-8648,14360,-4900,-8892,8204
0,-1836,-9240,15184,-10664,-1148,13364,9772,14892,-4188,9636,-10444,6660,920,-8672,14100,-4836,-8672,8204
0,-1776,-9008,15124,-10440,-1224,13292,9868,14788,-3904,9728,-10920,6372,972,-8456,13912,-4820,-8148,7400
0,-1608,-8732,14872,-10072,-1116,13164,9792,14400,-3616,9764,-11324,6208,328,-7856,13080,-4856,-7832,7012
0,-1512,-8344,14916,-10272,-1424,13052,9880,14036,-3372,9820,-11632,6052,-88,-7688,12244,-5488,-7616,7236
0,-1236,-7996,14948,-9980,-1312,13108,10196,14476,-3292,9472,-12024,5736,-516,-7292,11776,-5772,-7960,7476
0,-1212,-7580,14872,-9828,-856,13400,10200,14592,-2632,9160,-12260,5340,-464,-6940,11192,-5744,-7628,7384
0,-916,-7220,14968,-8920,-840,13620,10304,14268,-2392,9104,-12464,5016,-456,-6828,11316,-5532,-8100,7400
0,-836,-6824,15060,-9276,-480,13280,10268,14672,-2028,9404,-12388,4640,-296,-6988,11260,-5392,-8824,7968
0,-960,-6600,15516,-9456,-488,13588,9864,14548,-1880,9576,-12356,4360,-308,-7636,11364,-5204,-9240,8492
0,-1128,-6508,15708,-9392,-504,13620,10208,14008,-1564,9948,-12592,4260,-312,-8248,12264,-5140,-8924,10292
0,-916,-6656,15760,-9452,-788,13604,9908,14148,-1416,10100,-12492,3984,20,-8660,13452,-5332,-8564,11724
0,-828,-6936,15784,-9428,-528,13564,9288,13924,-1324,10308,-12512,3708,564,-8676,15044,-5376,-8748,13256
0,-880,-7420,15688,-9556,-748,13612,9348,13868,-1116,10544,-12664,3592,744,-9028,18284,-5372,-9236,14244
0,-644,-7848,15468,-9608,-1144,13352,9076,13460,-860,10356,-13000,2880,896,-9332,20952,-5568,-10328,14992
0,-716,-8084,15428,-9604,-1264,13400,8728,13528,-356,10604,-13208,2712,1540,-9328,24044,-6044,-11108,15748
0,-728,-8084,15296,-9560,-1412,13372,8704,13756,144,10780,-13276,2180,1532,-6452,25404,-6052,-11032,15524
0,-604,-8208,15184,-9504,-1456,13592,8816,13664,624,10476,-13716,1780,660,-3412,24540,-6188,-9408,15152
0,-508,-8008,15340,-9468,-1216,13620,8464,13848,980,10812,-13932,1152,-560,-2544,22716,-6584,-7864,14500
0,-400,-8156,15628,-9340,-1156,13952,8504,13844,1484,11452,-13948,1492,-1664,-3200,20360,-7224,-6080,13444
0,-260,-8300,15880,-9300,-1072,14048,8628,13460,1704,10772,-14152,876,-2316,-4204,18308,-7644,-4616,12096
0,-8,-8544,15764,-9372,-1176,14308,9056,13520,2104,10748,-14356,608,-2604,-5284,16964,-8236,-4432,10656
0,120,-8544,16172,-9476,-1408,14148,8824,13360,2368,11060,-14396,420,-3096,-5488,15688,-8092,-4748,9692
0,-244,-8692,15948,-9496,-1580,14536,8752,13112,2820,10516,-14572,16,-3464,-5100,14132,-8044,-5236,8812
0,-68,-8932,15968,-9532,-1516,14472,8680,13024,2996,10572,-14588,-88,-4064,-4648,13708,-8176,-5716,8160
0,168,-8888,15800,-9472,-1352,14612,8532,12724,3368,10816,-14648,-364,-3940,-4096,13204,-8656,-6028,7436
0,296,-8824,15796,-9164,-1240,14620,8248,12620,3400,10832,-14480,-540,-4592,-3720,13000,-8972,-6072,6880
0,236,-8684,15668,-9016,-1188,14656,8200,12504,3512,10704,-14504,-700,-4888,-2756,13284,-9288,-6112,6216
0,104,-8688,15628,-9068,-1060,14676,8448,12480,3744,10944,-14420,-776,-5300,-3256,13528,-9700,-6016,6088
0,256,-8756,15560,-8944,-1140,14612,8292,12588,3748,10980,-14484,-948,-6052,-4268,13640,-11132,-6212,6404
0,468,-8576,15624,-8696,-1300,14360,8456,12500,3760,10876,-14372,-964,-7192,-5720,14000,-12652,-6972,7980
0,448,-8364,15788,-8784,-1432,14368,8300,12644,3852,11208,-14428,-896,-10964,-5972,14868,-15540,-7452,10024
0,368,-8352,15508,-8760,-1336,14460,8212,12752,3880,10884,-14548,-932,-15276,-3760,15524,-19820,-6224,12388
0,376,-8460,15304,-8504,-1200,14516,8280,12848,3764,10704,-14572,-844,-16564,-872,15644,-21964,-4904,13484
0,424,-8256,15312,-8496,-1140,14364,8012,12768,3720,10692,-14472,-660,-15436,676,16024,-20288,-4496,12804
0,472,-8024,15320,-8424,-1096,14320,8388,12844,3568,10720,-14368,-584,-13180,1572,16528,-16932,-4388,11008
0,368,-7848,15480,-8184,-1020,14560,8360,12988,3444,10712,-14324,-480,-9704,324,16612,-13356,-4780,9432
0,564,-7444,15852,-8304,-832,14680,8656,13124,3480,10684,-14260,-284,-7580,-2028,16592,-11920,-4728,8540
0,780,-7264,16036,-8168,-616,14792,8716,13332,3124,10924,-14156,-352,-5548,-4220,17432,-9852,-5188,8140
0,876,-7348,16460,-8084,-524,15092,8984,13476,3108,10904,-14244,-80,-5012,-3852,15272,-8880,-4436,8708
0,784,-7420,16716,-8224,-560,15248,9016,13780,3068,10988,-14176,24,-4804,-6548,15380,-8600,-4824,9140
0,688,-7456,16540,-8344,-692,15012,9076,13972,2988,10848,-14356,232,-3796,-5220,15116,-8212,-5692,9980
0,624,-7760,16436,-8484,-796,14768,9000,14104,2748,10644,-14260,248,-4128,-5264,15636,-7384,-6236,10092
0,428,-7860,15948,-8740,-876,14524,9264,14024,2632,10492,-14232,476,-3928,-5004,16188,-7804,-6564,10696
0,-84,-7964,15536,-8984,-828,14176,9260,13884,2484,10148,-14016,508,-4768,-4572,15920,-8656,-5924,10580
0,-360,-8112,15376,-9140,-980,14224,9204,13760,2492,9976,-13748,800,-4912,-2832,16324,-9560,-5056,10704
0,-632,-8232,15092,-9456,-924,13932,8768,13656,2052,9900,-13296,968,-5816,-4784,15732,-10208,-4652,11004
0,-892,-8292,14944,-9468,-864,13808,8660,13508,1940,9908,-13192,1024,-6244,-2904,15596,-10520,-4548,10796
0,-756,-8284,14820,-9560,-924,13712,8636,13668,1732,9688,-12984,1228,-6676,-2652,16076,-10808,-4104,10624
0,-984,-8064,14908,-9704,-896,13564,8472,13824,1540,9696,-12820,1312,-6408,-1756,16072,-10940,-4428,10416
0,-1012,-8244,14944,-9748,-784,13692,8704,13900,1444,9824,-12808,1424,-5404,-3928,15296,-10440,-4384,11040
0,-912,-8180,15276,-9552,-716,13508,8828,13928,1272,10044,-12968,1576,-5540,-3860,15332,-10056,-4884,10656
0,-652,-8144,15444,-9504,-952,13744,8948,14176,1372,10288,-13044,1536,-4880,-3884,16100,-9700,-5228,10700
0,-620,-8240,15416,-9532,-1044,13640,9184,14320,1332,10584,-13068,1784,-4140,-2648,16824,-9292,-5784,10648
0,-340,-8360,15532,-9444,-1044,13788,9220,14660,1320,10548,-13280,1748,-3828,-2060,18132,-8912,-5788,11032
0,-300,-8152,15608,-9484,-1136,13676,9360,14768,1332,10584,-13360,2016,-3768,-832,18836,-8744,-5192,11092
0,-196,-8348,15444,-9356,-1256,13772,9488,14940,1136,10816,-13376,1864,-3720,216,19460,-8960,-4344,11344
0,-160,-8280,15304,-9316,-1352,13780,9456,14764,1264,10664,-13468,1904,-4192,656,19488,-9116,-3188,11652
