trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-2076,-2896,17176,-8260,4388,13968,8572,13820,3092,10228,-13684,-224,-5496,4092,16116,-6968,2056,13124
0,-1884,-2992,17256,-8236,4436,13956,8648,13804,3268,10200,-13620,-432,-5376,4068,16076,-6944,2084,13120
0,-1892,-3020,17156,-8280,4412,13976,8636,13856,3300,10296,-13760,-272,-5588,4068,15976,-6900,2148,13212
0,-1996,-3132,17064,-8344,4348,13976,8532,13828,3204,10168,-13612,-308,-5488,4076,16048,-6928,2112,13188
0,-1808,-3312,17100,-8216,4188,14036,8648,13884,3064,10232,-13748,-356,-5548,4156,16064,-6940,2220,13064
0,-1848,-3396,17068,-8292,4168,14076,8540,13960,3252,10156,-13676,-332,-5472,4152,16140,-6932,2256,13224
0,-1984,-3468,16992,-8340,4120,13988,8592,13948,3288,10164,-13848,-312,-5544,4172,15964,-6908,2352,13216
0,-1912,-3252,17008,-8320,4232,13880,8532,13832,3196,10144,-13744,-356,-5532,4224,15896,-7000,2368,13084
0,-1948,-3320,17056,-8424,4120,13832,8580,13980,3156,10048,-13820,-324,-5496,4212,15988,-6964,2344,13220
0,-1964,-3392,17260,-8448,4188,13964,8492,13908,3196,10088,-13704,-168,-5472,4300,15996,-6876,2324,13168
0,-2020,-3436,16976,-8328,4124,13852,8524,13884,3144,10148,-13652,-296,-5504,4388,15896,-6892,2336,13160
0,-2044,-3356,16956,-8456,4068,13844,8468,13848,3168,10120,-13756,-372,-5484,4388,15956,-6920,2348,13040
0,-2056,-3284,16940,-8308,4208,13976,8404,13920,3204,10084,-13832,-416,-5476,4328,15936,-6892,2412,13296
0,-1992,-3220,16948,-8332,4144,13892,8348,13972,3216,10024,-13824,-280,-5528,4336,15896,-6980,2456,13216
0,-2000,-3276,17124,-8316,4196,13944,8428,13908,3080,9996,-13820,-336,-5428,4356,15776,-6932,2348,13140
0,-2096,-3192,17128,-8368,4304,13848,8464,13976,3176,10008,-13736,-264,-5556,4228,15980,-6888,2320,13144
0,-2012,-3248,17128,-8348,4208,13984,8532,13928,3344,10020,-13820,-228,-5480,4220,16040,-6988,2200,13124
0,-1936,-3252,17300,-8380,4204,13940,8444,13848,3288,10160,-13880,-316,-5556,4232,16012,-7024,2228,13316
