trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-1660,-5400,16524,-7008,-3604,15076,3480,16536,552,4588,-14940,4872,-6516,7756,14864,-4276,8216,13520
0,-1620,-5480,16480,-7220,-3572,14912,3596,16532,408,4768,-14992,4968,-6256,7872,14976,-3988,8244,13148
0,-1632,-5244,16480,-7124,-3472,14924,3644,16540,424,4816,-14908,5132,-5336,7372,14768,-3660,7772,12720
0,-1536,-5536,16400,-7052,-3524,14872,3916,16576,472,5000,-14936,5016,-5040,7292,14892,-3288,7616,12440
0,-1492,-5456,16372,-6996,-3572,14828,3888,16772,412,5120,-15088,5068,-4900,7132,14652,-3192,7476,12280
0,-1424,-5436,16380,-6940,-3436,15000,3860,16820,484,5272,-15252,4976,-5008,7120,14628,-3204,7588,12252
0,-1600,-5688,16344,-7040,-3492,14888,3948,16864,496,5252,-15424,5116,-5128,7184,14516,-3392,7488,11968
0,-1804,-5652,16348,-7064,-3356,15056,3928,16980,456,5240,-15508,5008,-5576,7052,14728,-3452,7328,12336
0,-1620,-5628,16432,-7276,-3464,15064,3728,16884,568,5060,-15572,5012,-5632,6988,14640,-3628,7460,12364
0,-1696,-5752,16376,-7216,-3464,14896,3680,16828,648,5100,-15592,4968,-5896,6992,14716,-3948,7416,12504
0,-1688,-5756,16252,-7316,-3532,14952,3808,16688,700,5052,-15512,4744,-6244,7052,14856,-4080,7608,12680
0,-1792,-5740,16132,-7228,-3380,14852,3924,16396,608,5008,-15484,4580,-6280,6924,14728,-3932,7588,13308
0,-1748,-5892,16176,-7256,-3312,14912,3920,16308,920,4900,-15512,4412,-6464,6936,14932,-4036,7616,13824
0,-1828,-6008,16256,-7332,-3528,14760,3924,16112,916,4864,-15560,4296,-6420,6984,15512,-4168,7304,13784
0,-1604,-5888,16256,-7392,-3656,15064,3696,15924,1220,4788,-15572,4360,-6272,6876,15592,-3952,6940,13640
0,-1692,-6012,16324,-7228,-3564,14840,3648,15960,1108,4676,-15616,4360,-5948,6460,15484,-3952,6660,13500
0,-1632,-6052,16304,-7236,-3636,14980,3600,16032,1120,4484,-15796,4212,-5684,6188,15592,-3900,6304,13328
0,-1628,-6124,16444,-7316,-3796,14932,3588,16020,1376,4456,-15932,4256,-5604,5848,15588,-3784,5916,13344
0,-1552,-6244,16148,-7136,-3848,14880,3496,16016,1324,4388,-15864,4168,-5536,5516,15476,-3828,5576,13148
0,-1564,-6220,16428,-7136,-3792,14972,3556,16216,1424,4660,-15852,4456,-5660,5144,15320,-3948,5336,13332
0,-1360,-6168,16228,-7092,-3888,15128,3608,16108,1308,4720,-16020,4208,-5704,4864,15124,-4008,5296,13400
0,-1376,-6248,16472,-6988,-3932,15096,3764,16088,1376,4668,-15904,4132,-5944,4724,15296,-3896,5408,13460
0,-1156,-6260,16308,-6908,-3848,15200,3568,16064,1320,4808,-16036,4008,-5940,4812,15184,-4188,5504,13700
0,-1184,-6172,16296,-6868,-3880,15024,3612,16136,1576,4676,-16060,4084,-5772,5044,15436,-4040,5828,13332
0,-1252,-6332,16152,-6884,-3864,15116,3740,16064,1404,4764,-16080,4000,-5748,5508,15416,-3948,6004,13232
0,-1368,-6192,16100,-6932,-3848,15168,3768,16120,1456,4616,-15964,4088,-5812,5804,15372,-3924,6320,13268
0,-1376,-6028,16204,-6952,-3732,15024,3924,16084,1520,4816,-15964,4176,-5680,6180,15216,-3812,6564,13044
0,-1440,-5912,16312,-6976,-3552,14992,3936,16080,1416,4816,-15848,3932,-5664,6420,15028,-3848,6648,12980
0,-1492,-5776,16156,-6984,-3512,14944,3848,16188,1464,4960,-15924,4180,-5604,6552,15120,-3744,6916,12820
0,-1544,-5744,16252,-6988,-3428,15100,3852,16192,1348,4968,-15876,3972,-5688,6776,14880,-3904,6880,12804
0,-1504,-5680,16380,-6960,-3428,15080,3668,16176,1468,5036,-15864,3992,-5716,6944,14816,-3940,6912,13100
0,-1652,-5648,16404,-6920,-3288,15064,3832,16292,1348,5164,-15800,4180,-5756,6872,14884,-3736,6932,13016
0,-1524,-5672,16560,-6916,-3292,15024,3772,16316,1216,5092,-15844,4144,-5972,6868,14824,-3872,7064,12980
0,-1596,-5736,16572,-7024,-3308,15172,3836,16324,1488,5116,-15908,4112,-6008,6648,14892,-3932,6932,13064
0,-1608,-5784,16564,-7108,-3336,15356,3788,16328,1284,5008,-15764,4128,-5904,6912,14696,-3856,6796,13312
0,-1604,-5744,16568,-7108,-3352,15504,3808,16116,1316,4980,-15756,4280,-5788,6528,15540,-3976,6848,12840
0,-1588,-5824,16636,-7152,-3444,15432,3696,16256,1252,4904,-15752,4236,-5672,6584,15108,-3832,6704,12916
0,-1596,-5800,16608,-7072,-3464,15336,3840,16272,1340,4800,-15700,4392,-5760,6432,15296,-3932,6716,12956
0,-1668,-5908,16540,-7092,-3440,15148,3784,16212,1228,4876,-15656,4288,-5724,6224,15228,-3900,6636,13176
0,-1548,-5932,16508,-7232,-3548,15256,3768,16196,1240,4760,-15684,4276,-5740,6204,15284,-3860,6416,13092
0,-1620,-6016,16320,-7092,-3496,15192,3472,16300,1304,4804,-15696,4376,-5636,6144,15136,-3948,6420,13112
0,-1660,-6112,16204,-7160,-3608,15088,3652,16220,1180,4844,-15664,4324,-5584,6032,15168,-3856,6324,13260
0,-1652,-6124,16168,-7144,-3640,15004,3672,16276,1228,4856,-15608,4384,-5692,6028,15188,-3760,6308,13372
0,-1716,-6296,16112,-7248,-3884,15060,3668,16272,1244,4788,-15556,4528,-5636,5980,15160,-3768,6448,13256
