trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-3100,-6728,15608,-7628,-5444,14052,4028,18648,-1148,6540,-14464,6688,-6360,4588,15184,-4192,5672,13436
0,-3160,-6552,15912,-7596,-5472,14228,3588,18204,-1048,6436,-13776,6668,-6452,4932,15296,-4044,6124,13544
0,-3164,-6540,15828,-7656,-5288,14248,3280,17796,-1240,6196,-13444,6520,-6644,5332,15556,-4096,6492,13584
0,-3124,-6516,15904,-7640,-5344,14212,3352,17176,-1200,5776,-13292,6144,-6792,5836,15680,-4328,6656,13484
0,-2992,-6392,15500,-7476,-5492,14184,3260,16908,-964,4928,-13268,6228,-6732,6024,15500,-4172,6724,13676
0,-2936,-6476,15416,-7412,-5456,13948,3472,16656,-868,4612,-13332,6028,-6672,6076,15472,-3972,6872,13480
0,-2888,-6500,15484,-7376,-5536,14016,3560,16560,-744,4692,-13548,5844,-6572,6156,15612,-4124,6880,13500
0,-2800,-6568,15420,-7376,-5664,14000,3396,16600,-564,4772,-13876,5692,-6500,6292,15564,-3972,6916,13540
0,-2668,-6708,15644,-7400,-5780,13928,3120,16692,-320,4696,-14288,5672,-6208,6272,15812,-3700,6908,13536
0,-2740,-6832,15708,-7364,-5760,14000,3172,16720,-152,4916,-14616,5120,-6052,6320,15704,-3684,6764,13432
0,-2584,-7016,15776,-7336,-5824,14280,3124,16804,92,4892,-14868,5388,-5868,6188,15616,-3588,6528,13396
0,-2624,-7352,15744,-7348,-6096,14340,3276,16676,156,4968,-15152,5168,-5740,5992,15784,-3516,6564,13368
0,-2484,-7228,15988,-7456,-6220,14332,3144,16800,444,4896,-15356,4900,-5724,5900,15716,-3512,6328,13368
0,-2344,-7244,15952,-7256,-6240,14436,3212,16724,392,4796,-15432,4932,-5496,5828,15832,-3400,6256,13348
0,-2408,-7276,16148,-7184,-6088,14408,3012,16600,708,4728,-15640,4884,-5496,5620,15852,-3384,6268,13604
0,-2348,-7088,16180,-7176,-5924,14488,3172,16624,768,4700,-15752,4660,-5492,5672,15732,-3224,6412,13512
0,-2372,-7092,16236,-7212,-5940,14376,3280,16556,960,4476,-15780,4612,-5744,5736,15804,-3364,6792,13588
0,-2348,-6984,16184,-7104,-5824,14348,3280,16596,1248,4392,-15956,4292,-5740,5804,15836,-3448,6836,13512
0,-2444,-6956,16092,-7232,-5704,14324,3436,16492,1264,4484,-16000,4296,-6004,6068,15664,-3632,6876,13660
0,-2488,-7080,16172,-7248,-5716,14236,3452,16412,1360,4372,-16092,4192,-6220,6248,15540,-3676,7256,13952
0,-2408,-7184,16060,-7392,-5692,14412,3516,16324,1564,4412,-16284,4096,-6344,6528,15564,-3680,7472,13728
0,-2452,-7196,16064,-7520,-5656,14188,3484,16380,1872,4232,-16380,3732,-6332,6692,15408,-3776,7508,13740
0,-2672,-7092,16044,-7572,-5528,14488,3592,16320,1904,4384,-16312,3812,-6156,6660,15612,-3836,7412,13692
0,-2696,-6932,15836,-7592,-5432,14416,3704,16244,1912,4536,-16448,3580,-6152,6584,15548,-3784,7356,13616
0,-2868,-7116,15912,-7512,-5392,14360,3764,16112,2076,4604,-16476,3444,-6072,6468,15404,-3720,7356,13476
0,-2928,-6632,15912,-7532,-5376,14332,3924,16072,2276,4808,-16524,3484,-5896,6280,15356,-3728,7152,13424
0,-2992,-6776,15596,-7624,-5112,14284,3908,16012,2260,5024,-16528,3344,-5924,6032,15316,-3548,6884,13268
0,-2972,-6716,15548,-7604,-5264,14172,3932,15976,2396,5100,-16572,3180,-6144,5796,15192,-3664,6784,13296
0,-3112,-6652,15296,-7516,-5252,13840,3812,15884,2496,5144,-16472,3260,-5884,5724,15424,-3868,6624,13120
0,-3024,-6844,15160,-7508,-5324,13880,3736,15680,2552,5168,-16364,3140,-5912,5592,15440,-3856,6380,13312
0,-3016,-7036,15304,-7608,-5380,13696,3808,15740,2568,5236,-16360,2960,-5816,5644,15536,-3868,6408,13344
0,-3072,-6904,15212,-7604,-5504,13936,3812,15572,2628,5308,-16280,2856,-5988,5444,15588,-3904,6380,13324
0,-3028,-6848,15448,-7688,-5276,13956,3808,15600,2648,5328,-16172,3092,-6092,5504,15484,-4012,6372,13404
0,-3148,-6908,15528,-7688,-5304,14152,3940,15536,2652,5188,-16148,2884,-6104,5416,15776,-4132,6396,13368
0,-3184,-6752,15692,-7676,-5292,14120,3780,15584,2504,5332,-16156,2988,-5976,5476,15524,-4136,6364,13352
0,-3052,-6764,15820,-7828,-5236,14048,3848,15544,2512,5236,-16172,2988,-6080,5540,15436,-4012,6348,13308
0,-3112,-6540,15760,-7680,-5036,14368,3928,15660,2568,5272,-16300,2944,-6152,5504,15444,-4084,6428,13356
0,-3172,-6644,15744,-7660,-5104,14348,3908,15648,2484,5232,-16212,3028,-6096,5684,15704,-4048,6364,13492
0,-3000,-6588,15904,-7464,-5088,14312,3916,15752,2504,5452,-16240,3100,-6184,5772,15600,-3932,6588,13376
0,-2940,-6560,15884,-7456,-5028,14112,3896,15872,2436,5372,-16268,3080,-6112,5800,15664,-3976,6640,13548
0,-3008,-6340,16032,-7492,-5008,14208,3784,16052,2308,5392,-16296,3324,-6136,5900,15624,-3948,6736,13600
0,-2916,-6128,15916,-7496,-4924,14460,3696,16128,2344,5332,-16220,3324,-6148,5820,15768,-3940,6724,13316
0,-2948,-6352,16016,-7408,-4868,14468,3776,16176,2236,5264,-16272,3456,-6092,5968,15628,-4020,6744,13496
0,-2980,-6328,15980,-7468,-4884,14364,3728,16260,2104,5296,-16160,3496,-6144,6024,15492,-3932,6844,13304
0,-3016,-6376,16076,-7564,-4996,14348,3712,16180,2088,5292,-16108,3488,-6124,5992,15648,-3920,6892,13452
0,-2924,-6476,15920,-7476,-5044,14428,3696,16296,2016,5168,-16176,3560,-6108,5912,15532,-3884,6956,13540
0,-2908,-6496,15892,-7408,-5120,14444,3672,16348,1808,5208,-15996,3548,-6084,6012,15360,-3804,7132,13396
0,-2808,-6612,15912,-7448,-5212,14456,3784,16328,1936,5216,-15856,3764,-6148,6172,15396,-3752,7188,13460
0,-2788,-6588,15976,-7544,-5244,14388,3776,16396,1800,5180,-15852,3820,-6196,6116,15392,-3736,7024,13360
0,-2876,-6704,15912,-7384,-5312,14272,3704,16192,1856,5148,-15824,3856,-6104,6288,15320,-3728,7104,13256
0,-2864,-6700,15880,-7380,-5240,14372,3688,16408,1668,4932,-15744,3940,-6072,6248,15308,-3884,6972,13252
0,-2840,-6492,15916,-7412,-5248,14344,3404,16360,1524,4932,-15476,4088,-6044,6116,15452,-3752,7028,13312
0,-2824,-6308,15936,-7364,-5220,14256,3424,16304,1432,4924,-15492,4156,-6132,6088,15380,-3684,7028,13368
0,-2924,-6320,15760,-7412,-5136,14204,3580,16352,1392,4892,-15572,4016,-6220,6048,15516,-4024,6660,13352
