trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-284,-8612,14904,-8036,-7764,12612,15228,24676,-3660,18536,-18624,12624,-1236,11460,12584,-8068,9504,8244
0,-636,-8504,14976,-8040,-7476,12548,13680,21436,-3276,15316,-15820,10932,-1452,11036,12436,-7972,8836,8056
0,-412,-7784,14964,-8068,-6928,12564,11436,18412,-2848,11372,-12324,9056,-1696,10704,12572,-8248,8124,8188
0,-1020,-7700,15340,-8056,-6196,12772,9084,15504,-2216,7688,-9156,7320,-2208,10400,12764,-8388,8100,8528
0,-1488,-7112,15632,-8228,-5320,12884,7976,13144,-2048,5976,-8268,6548,-2800,10248,13052,-8684,8300,9216
0,-1652,-6452,15500,-8480,-5156,13088,7116,11456,-1968,5284,-7732,5888,-2884,10544,13248,-9384,9072,9476
0,-1544,-6444,15520,-8616,-5112,13136,6188,10676,-1768,5528,-7440,5556,-3200,10996,13444,-9004,8920,9336
0,-1740,-6504,15544,-8408,-5416,13304,5404,10148,-1760,5880,-7844,5436,-3044,11004,13436,-9560,8500,9308
0,-1596,-6532,15216,-8452,-5520,13784,5184,10508,-1788,6656,-8356,5660,-3348,11324,13260,-9676,9344,9024
0,-1952,-6216,15632,-8704,-5140,13720,5272,11260,-1672,7736,-9164,5728,-3292,11848,13356,-10064,10284,8928
0,-1676,-7020,15648,-8340,-5448,13484,5596,12304,-1280,8964,-10064,6048,-2880,12352,13512,-9476,10664,8980
0,-1028,-7724,15576,-8060,-5868,13280,6524,13464,-908,10316,-11380,6160,-2612,12332,13204,-9420,10268,8500
0,-452,-8900,15772,-7992,-6940,12984,7296,14664,-508,10808,-12652,6180,-2508,12440,12792,-9204,10396,8336
0,80,-9428,15056,-7852,-8144,12644,8140,15488,-64,11328,-13656,6200,-2020,12356,12700,-8928,9892,7840
0,128,-10196,15232,-7844,-9124,12640,8956,15816,260,11728,-14328,5840,-1736,12360,12520,-8380,10920,7736
0,240,-11164,15112,-8124,-9524,12128,9504,15828,624,11668,-14948,5700,-1488,12412,12140,-7996,10868,7520
0,516,-11588,14728,-7992,-9636,12104,9996,15372,972,11344,-15100,5216,-1116,12088,11760,-8124,10612,7780
0,620,-11892,14432,-8024,-9612,12080,9868,14928,1132,10908,-14900,5004,-1624,12184,11428,-8044,10552,8320
0,356,-11816,14264,-8460,-10092,11884,9868,14356,1364,10308,-14636,4684,-2080,12252,11472,-8584,11268,8456
0,180,-11656,14468,-8608,-10060,12316,9228,13576,1368,9844,-13932,4420,-1852,12028,11624,-8112,11064,7988
0,148,-11248,14228,-8512,-9596,12468,8656,13160,1492,9324,-13572,4184,-2096,12112,12060,-8720,10576,7828
0,-672,-10432,14536,-8524,-8992,12540,7992,13032,1440,9084,-13444,3992,-2356,12380,12184,-9212,10292,7716
0,-372,-10044,14564,-8432,-8428,12580,7160,13232,1788,8928,-13496,3888,-2368,12872,12392,-9124,10640,7972
0,-364,-9756,14904,-8408,-7928,12720,6736,13416,1812,8896,-13760,3724,-2432,12900,12168,-8872,10680,7780
0,-444,-9268,15084,-8308,-7680,12884,6980,13456,2064,9444,-13868,3628,-2300,12740,12020,-8980,10612,7524
0,-644,-8852,15036,-8364,-7416,12772,7244,13508,2400,10140,-14220,3520,-2472,12316,12000,-9136,10296,7556
0,-920,-8512,14836,-8372,-6988,12660,7608,13908,2624,10832,-14848,3584,-2896,12388,11768,-9524,9960,7744
0,-1132,-8308,14644,-8232,-6704,12400,7788,14208,2492,11308,-15376,3632,-2812,11828,11576,-9164,9552,7992
0,-1616,-7776,14132,-8664,-6276,12368,8068,14352,2836,11664,-15724,3576,-2836,11676,11552,-8832,9312,8112
0,-1768,-7836,13928,-8648,-5880,12244,8208,14460,2892,11784,-15972,3532,-2960,11464,11624,-8896,9140,8328
0,-1892,-7944,13896,-8712,-5804,11900,8720,14236,3044,11628,-15832,3516,-3140,11360,11868,-9024,8956,8188
0,-2112,-8104,13800,-8804,-5924,11724,8876,14028,2800,11276,-15480,3584,-3044,11176,12140,-9024,9176,8368
0,-1920,-8528,13628,-9036,-6168,11628,8660,13992,2684,10648,-15136,3420,-3004,11044,12296,-8792,9032,8120
0,-1876,-8872,13680,-9176,-6316,11596,8160,13736,2636,10092,-14780,3452,-2984,10936,12584,-8800,9224,8376
0,-1632,-9408,13632,-8996,-6916,11440,7736,13448,2360,9540,-14436,3520,-2888,10784,12828,-8652,9176,8740
0,-1460,-9892,13688,-9064,-7232,11296,7380,13212,2200,9012,-14052,3624,-3020,10752,12860,-8808,8820,8680
0,-1336,-10244,13936,-8976,-7532,11408,7168,13084,1916,8912,-13652,3764,-2992,10540,12932,-8736,8768,8860
0,-1112,-10256,13780,-8816,-7660,11552,7096,13160,1716,8920,-13456,3808,-2944,10300,12944,-8792,8876,9004
0,-1092,-10236,13812,-8956,-8064,11984,7048,13176,1636,8932,-13136,4276,-3152,10844,13000,-8740,9108,9240
0,-1124,-10220,13896,-9144,-8280,11952,7328,13440,1152,9188,-13160,4436,-3044,11000,13084,-8672,9132,9332
0,-928,-10744,14152,-8852,-8064,11680,7564,13788,1004,9336,-13144,4672,-2852,11276,12964,-8712,9340,8988
0,-760,-10900,14244,-8888,-8100,12088,7860,14212,776,9504,-13244,5136,-2672,11508,12740,-8656,9516,8912
0,-932,-10592,14172,-9004,-8684,12176,8072,14632,672,9620,-13492,5264,-2560,11564,12672,-8556,9436,8792
0,-1236,-10376,14044,-8896,-8940,12292,8356,14884,448,9824,-13424,5596,-2392,11428,12524,-8440,9148,8632
0,-1268,-10176,13912,-8804,-8632,12424,8348,14900,288,9708,-13716,5772,-2716,11732,12540,-8576,9304,8636
0,-1200,-10216,14064,-8680,-8148,12500,8400,15292,120,9792,-13452,6020,-2796,11568,12480,-8972,9268,8768
0,-1008,-10160,14224,-8624,-7700,12200,8268,15296,32,9792,-13232,5972,-3176,11516,12560,-8952,9144,8676
0,-988,-9680,14176,-8420,-7620,12332,8216,15268,-256,9548,-13116,6108,-3052,11264,12492,-8844,9088,8796
0,-872,-9204,14488,-8168,-7756,12440,7960,15236,-364,9520,-12988,6268,-3188,11352,12312,-9124,9152,8652
0,-1168,-9188,14596,-8372,-7608,12664,7776,15000,-432,9460,-12728,6356,-3704,11628,12360,-8832,9008,8600
0,-1124,-9320,14892,-8416,-7160,12216,7668,15052,-672,9260,-12556,6588,-3332,11632,12348,-8732,8876,8560
0,-1028,-9788,15244,-8416,-6684,12064,7512,14964,-832,9172,-12232,6604,-3356,11456,11872,-8756,9052,8388
0,-512,-10156,15436,-8032,-6228,12204,7692,14984,-1076,9184,-12144,6800,-3452,11388,11620,-9024,9044,8236
0,-656,-9320,15096,-8244,-7148,12648,7816,15172,-1052,9328,-11896,6836,-3392,11408,11500,-9008,8816,8396
0,-1464,-8744,14952,-8468,-7888,12928,7684,15116,-1360,9160,-11792,7016,-3600,11456,11528,-8976,8572,8232
0,-1732,-8844,14876,-8620,-7700,13052,7568,15264,-1288,9320,-11912,6916,-3660,11508,11516,-8644,8624,8112
0,-1772,-9032,14696,-8640,-7416,13080,7520,15304,-1336,9488,-11872,7284,-3676,11488,11808,-8988,8716,8384
0,-1812,-8948,14392,-8608,-7452,12856,7420,15212,-1304,9436,-11896,7092,-3704,11392,12164,-8980,8740,8396
0,-1764,-9148,14308,-8372,-7516,12780,7628,15236,-1300,9528,-12052,7100,-3724,11148,12352,-9004,8800,8752
0,-1688,-10140,15080,-8576,-7084,12508,7580,15020,-1340,9608,-12108,7112,-3924,10848,12656,-8572,9076,8720
0,-1096,-10692,15160,-8264,-6436,12088,7624,14852,-1160,9484,-12188,7052,-3920,10200,12448,-8856,9384,8764
0,-796,-10028,15040,-7940,-7276,12500,7444,14672,-1152,9676,-12340,6784,-4624,10136,12336,-9016,9536,9048
0,-1248,-9672,15124,-8304,-8112,12768,7364,14484,-948,9752,-12332,6656,-4244,11260,11920,-9304,7988,8880
0,-1872,-9576,15056,-8392,-8324,12872,7548,14296,-840,9540,-12640,6316,-3684,12024,12280,-8708,8988,8840
0,-2500,-9416,14748,-8448,-8100,13164,7636,14188,-752,9484,-12720,6540,-3444,12536,11928,-8708,10028,8372
0,-2704,-9140,14544,-8556,-7916,13092,7760,14248,-824,9520,-12820,6528,-4012,12648,11752,-9484,9916,8548
0,-2836,-8984,14236,-8576,-7676,12952,7960,14264,-768,9352,-12780,6720,-3800,12320,11364,-8908,10400,8300
0,-3100,-8916,14144,-8588,-7532,12868,8068,14372,-948,9352,-12892,6752,-4052,12172,11044,-9076,9924,8512
0,-2976,-8836,13916,-8700,-7444,12828,8032,14536,-816,9148,-12700,6916,-3952,12036,11036,-9228,9332,8168
0,-3332,-8840,13960,-8468,-7408,12632,8328,14556,-1280,9228,-12588,7044,-3828,11996,11092,-8800,10004,8312
0,-3408,-8992,13656,-8492,-7192,12616,8500,14848,-1504,9068,-12204,7264,-3668,11792,11212,-8836,9892,7936
0,-3400,-8876,13660,-8684,-7336,12676,8412,14824,-1668,9180,-12244,7348,-3656,11456,11344,-8700,9680,7976
0,-3408,-8880,13708,-8540,-7432,12780,8280,15140,-1772,8784,-12496,7648,-3724,11244,11248,-8756,9512,7760
0,-3412,-8612,13816,-8692,-7436,12680,8284,15080,-1976,8864,-12008,7712,-3932,11140,11352,-8732,9164,7884
0,-3636,-8860,13624,-8608,-7452,12684,8324,15072,-2136,8892,-12072,7904,-3792,11092,11248,-8836,9264,7900
0,-3268,-8500,13620,-8564,-7260,12556,8324,14868,-2168,9056,-11352,8060,-3752,10928,11424,-8608,9576,8024
0,-3608,-8256,13572,-8580,-7408,12524,8640,15012,-2436,9216,-11224,8180,-3748,11404,11536,-8620,9380,8580
0,-3160,-8824,14080,-8840,-7272,12428,8632,15036,-2764,9428,-10652,8224,-3520,11548,12204,-8268,9556,8656
0,-3236,-8684,13880,-8776,-7368,12264,8456,15024,-2652,9684,-10660,8116,-3024,11732,12684,-8216,9672,8828
0,-3220,-8204,13964,-8636,-7064,12188,8420,15036,-2640,9624,-10412,7960,-3068,11924,13104,-8452,9804,9188
0,-2988,-8528,13852,-8588,-6888,12108,8376,15100,-2412,9532,-10564,8136,-3040,11928,13784,-8336,10312,9552
0,-3112,-8712,14072,-8664,-7144,12192,8288,15136,-2508,9676,-10484,8100,-2940,12064,14008,-8180,10400,9476
0,-2884,-8668,14176,-8548,-7188,12448,8456,14896,-2536,9900,-10788,8056,-2912,12064,13968,-8316,10140,9556
0,-2792,-8760,14348,-8596,-7120,12560,8764,14840,-2328,10072,-10700,7856,-3216,11948,13720,-8356,10000,9216
0,-2620,-8824,14708,-8668,-6792,12744,8960,14556,-2204,10172,-10788,7656,-3384,11444,13196,-8536,9560,9016
0,-2528,-8736,14820,-8724,-6952,12824,9048,14448,-2112,10456,-10760,7520,-3684,11232,12556,-8660,9244,8892
0,-2456,-8884,15144,-8672,-7280,12904,9128,14136,-1876,10696,-11060,7204,-4064,10900,12196,-8932,8968,8780
0,-2260,-8792,15392,-8868,-7164,13060,9180,13976,-1520,10748,-11236,6956,-4188,10616,11904,-8940,8808,8588
0,-2240,-8764,15332,-8720,-6852,12996,9212,13996,-1448,10976,-11352,6936,-4328,10588,11892,-8880,8688,8424
0,-2228,-8928,15504,-8772,-6600,12868,9264,13660,-1068,11120,-11776,6620,-4348,10492,11912,-8984,8524,8388
0,-2368,-8588,15184,-8644,-6636,12852,9508,13364,-888,10984,-11672,6348,-4288,10596,11980,-9132,8648,8352
0,-2384,-8556,15352,-8860,-6624,12928,9672,13324,-756,11176,-11772,6172,-4284,10480,11904,-9020,8584,8320
0,-2352,-8440,15384,-8924,-6528,12704,9980,13164,-584,11192,-12076,6136,-4236,10604,11928,-9216,8644,8196
0,-2388,-8428,15084,-8900,-6288,12568,9664,13176,-500,11256,-12132,5824,-4384,10492,11900,-9116,8344,8284
0,-2380,-7988,14860,-8744,-6496,12456,9640,13128,-252,11476,-12328,5708,-4312,10460,12040,-9004,8304,7836
0,-2424,-7876,14772,-8644,-6400,12704,9996,13116,-148,11380,-12360,5600,-4260,10624,11968,-9244,8696,8052
0,-2444,-7748,14896,-8708,-6148,12440,9956,12940,-168,11484,-12488,5472,-4220,10824,11972,-9172,8724,8012
0,-2608,-7808,14968,-8588,-6056,12948,10304,12932,108,11396,-12520,5348,-4228,10800,11960,-9164,8760,8284
0,-2524,-7652,14984,-8516,-5860,12840,10224,13072,264,11388,-12560,5220,-4336,10868,11740,-9200,8660,8220
0,-2268,-7520,15120,-8408,-5968,12800,10080,13036,184,11256,-12668,5220,-4244,10956,11672,-9144,8700,8244
0,-2216,-7460,15240,-8340,-6148,12960,10052,12992,396,11260,-12688,5224,-4248,11084,11640,-9264,9164,7952
0,-2204,-7432,15436,-8256,-6116,13080,9932,12876,332,11060,-12880,5012,-3972,11088,11776,-9052,8824,8136
0,-1960,-7660,15412,-8220,-5956,13060,9768,12900,436,11044,-12808,5108,-4020,11224,11692,-8988,9100,8076
0,-2092,-7788,15484,-8216,-6132,13076,9616,12988,572,10920,-12964,5200,-3872,11608,11576,-9144,8960,7836
0,-2056,-8028,15332,-8204,-6416,13188,9532,13140,240,10844,-13100,5300,-3684,11916,11620,-8952,9500,7964
0,-2040,-8200,15492,-8240,-6576,13248,9136,13340,272,10828,-12904,5324,-3728,12264,11640,-9028,10176,7792
0,-1816,-8380,15292,-8364,-6804,13432,8972,13588,240,10752,-12972,5520,-3340,12396,11768,-9212,9716,8048
0,-1816,-8628,15412,-8304,-7008,13460,8676,13880,88,10728,-12768,5660,-3464,12560,11720,-9192,10116,7932
0,-1720,-8816,15432,-8396,-7172,13284,8252,14076,-32,10744,-12928,5736,-3188,12908,11884,-8880,11188,8000
0,-1576,-8952,15072,-8232,-7320,13116,8240,14288,-64,10540,-12716,5936,-2996,12980,11984,-9000,10836,8044
0,-1652,-9048,15140,-8132,-7256,12964,7904,14532,-108,10328,-12720,6060,-2976,13084,11948,-9032,10952,7864
0,-1624,-9192,14756,-8272,-7172,12800,7768,14436,-204,10196,-12748,6052,-2880,13220,11848,-8756,11176,7920
0,-1620,-9256,14608,-8464,-7400,12644,7540,14592,-352,9952,-12756,6200,-2932,12948,11952,-8760,10980,7976
0,-1648,-9472,14548,-8288,-7596,12600,7496,14784,-452,9756,-12592,6152,-2916,12860,11732,-8484,10632,7896
0,-1632,-9444,14428,-8348,-7636,12628,7468,14712,-500,9700,-12696,6408,-2892,12684,11616,-8480,10500,8088
0,-1472,-9752,14456,-8300,-7720,12516,7228,14832,-644,9532,-12604,6532,-2996,12492,11828,-8504,10496,8060
0,-1440,-9844,14672,-8252,-7836,12472,7144,14928,-764,9276,-12456,6512,-2928,12384,11640,-8480,10464,8004
