trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-2896,-4152,16688,-9856,1064,13872,9376,13916,2004,10592,-13340,3528,-3576,11232,12616,-10052,10164,6572
0,-2620,-4136,16992,-9660,1056,13776,9556,13928,1972,10624,-13312,3612,-3712,11976,13360,-7920,12352,9424
0,-2564,-3996,17232,-9524,1096,13852,9464,13940,1920,10736,-13324,3588,-3820,12268,13632,-11456,7188,7616
0,-2632,-3480,17140,-9348,1524,13820,9528,14004,1932,10780,-13404,3608,-4072,12752,13596,-10636,11504,7832
0,-2652,-3296,16856,-9044,1884,13876,9292,14160,2128,10480,-13560,3724,-3408,12892,13256,-10648,11772,7672
0,-2752,-2820,16732,-9044,2056,14028,8900,14320,1832,10412,-13500,3828,-4140,12720,13180,-10168,10260,8136
0,-2728,-2676,16604,-9040,2348,13912,9108,14108,1904,10316,-13312,3736,-3624,12324,12924,-10536,8988,7580
0,-2700,-2576,16756,-8772,2572,13872,9072,14340,1988,10200,-13352,3756,-3864,11728,13004,-10664,10212,7260
0,-2640,-2640,17016,-8880,2596,13880,8912,14264,1772,10148,-13304,3912,-3804,11240,13068,-10212,10128,7420
0,-2716,-2684,17124,-9016,2624,13984,8644,14288,1900,10104,-13460,3960,-3424,11124,13432,-9824,9536,7644
0,-2544,-2792,17064,-9120,2492,13820,8280,14396,2112,9816,-13444,3836,-3360,10736,13268,-9060,9680,8036
0,-2700,-3184,17024,-9380,2320,13780,7888,14464,2036,9832,-13672,4000,-3116,10016,13412,-9372,8400,7764
0,-2804,-3524,17024,-9484,1904,13764,7676,14556,1984,9640,-13724,3768,-3396,9956,13256,-9272,8560,8244
0,-2792,-4028,16760,-9940,1548,13680,7592,14684,2244,9376,-13896,3712,-748,8568,13316,-6188,11032,8348
0,-2924,-4408,16512,-9984,1172,13456,7292,14524,2384,9492,-14048,3640,-2964,9028,13200,-9200,7820,7684
0,-2880,-4692,16256,-10116,1036,13472,7204,14548,2388,9220,-14088,3684,-3012,8240,13436,-9552,6092,7928
0,-2940,-5120,16348,-10256,716,13496,7316,14384,2600,8976,-14248,3576,-3944,8732,13200,-9664,8696,8300
0,-2640,-5396,16444,-10332,488,13472,7312,14268,2612,9020,-14324,3564,-3560,8904,13000,-8888,9468,8424
0,-2604,-5512,16476,-10312,108,13288,7148,14348,2672,8968,-14348,3436,-3356,9324,12568,-9056,8384,7956
0,-2540,-5608,16556,-10360,180,13488,7252,14480,2652,9084,-14240,3444,-3460,9484,12320,-9432,8108,7908
0,-2472,-5548,16408,-10220,280,13224,7072,14440,2580,9236,-14084,3540,-3552,9384,12148,-9220,8060,7484
0,-2400,-5744,16324,-10228,428,13276,7208,14112,2680,9328,-13976,3448,-3416,9636,12172,-9068,8908,7324
0,-2476,-5784,16424,-10192,516,13316,7484,14220,2636,9440,-13940,3484,-3204,10008,12092,-9048,9388,7008
0,-2600,-5632,16236,-10052,604,13292,7688,14260,2512,9348,-13956,3528,-3172,10744,12076,-9200,9436,7148
0,-2696,-5364,16048,-9952,624,13128,7680,14404,2432,9308,-13896,3692,-3088,11372,12304,-9316,9708,7192
