trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-688,-11744,10048,-10504,-4716,8576,3916,6768,14964,5340,-11188,-11044,-496,3212,17000,-10996,596,10312
0,-2816,-9028,9816,-10792,-3844,8408,4224,6888,14616,5188,-11040,-10764,-328,4060,17088,-10616,72,9948
0,-4376,-7836,9012,-11744,-3128,10800,3604,6980,14456,5260,-10852,-10688,-276,4364,16376,-10688,420,9900
0,-6516,-4464,6788,-10916,940,11452,3908,6916,14408,5284,-10900,-10528,-708,3872,17048,-10868,844,9904
0,-9540,-1364,8216,-8056,2644,15144,3288,7108,14336,4996,-11020,-10564,-580,2880,17256,-10520,2496,10356
0,-8112,-6920,10816,-7020,-284,15884,3456,7212,14504,5096,-10944,-10720,-160,3008,17712,-10628,1884,10560
0,-4684,-12116,12700,-8444,-5408,10368,3816,6512,14668,5360,-11016,-10760,-476,4260,18324,-10968,928,10476
0,1176,-19768,9396,-16516,-17216,5976,3964,6500,14836,5436,-11048,-11084,116,5448,18916,-10692,1552,11028
0,7560,-30336,14704,-17212,-26528,12168,3156,6884,15076,5092,-11420,-11188,436,6184,19192,-10916,2328,11176
0,6456,-29860,15104,-9884,-22444,15392,2972,6544,15268,5096,-11568,-11264,212,6240,18844,-11604,3176,11500
0,8152,-28040,13312,-5084,-16780,13560,3888,6452,15184,5176,-11496,-11388,-152,6084,18092,-11840,4156,12152
0,6400,-25612,9956,-8384,-15564,10044,3484,6264,15220,5448,-11372,-11344,-32,6380,18140,-12028,4516,12784
0,3280,-18376,8064,-10216,-13120,6488,4000,6092,15056,5536,-11364,-11364,448,6844,18028,-11640,3700,12584
0,640,-14224,6736,-9496,-10564,5696,5188,6348,15024,5744,-11276,-11268,776,6684,18116,-10932,3584,12040
0,68,-13224,5488,-9176,-9072,7272,4228,6328,15084,5532,-11284,-11104,952,6792,18224,-10512,4452,12012
0,-764,-11812,4448,-8380,-6200,7064,5436,6960,14888,5992,-11272,-11004,916,7000,17844,-10724,4356,10784
0,-1908,-10488,4820,-10140,-6388,7180,4772,7000,14956,5692,-11316,-10888,156,7192,17276,-10740,4904,10700
0,-3236,-9520,4204,-11024,-6300,6664,5080,7352,14816,6048,-11348,-10608,-244,6856,16612,-11200,5220,10212
0,-3948,-10180,4684,-10616,-5268,6268,4644,7476,14788,5884,-11280,-10584,-248,6956,16328,-11024,5196,9808
0,-3452,-11100,6596,-11092,-5276,6844,5124,7612,14708,6416,-11216,-10624,-836,7172,15612,-11440,4892,9532
0,-3708,-11252,7964,-11636,-5360,7884,4876,7240,14640,6176,-11336,-10592,-948,7348,15668,-11796,3888,9872
0,-3240,-11224,11232,-12156,-6060,9452,5092,6588,14712,5912,-11128,-10780,-1152,7356,15824,-11604,3244,9976
0,-2560,-12804,15580,-12384,-6512,11484,5552,6068,14636,6000,-11064,-10816,-772,6988,16676,-11284,2432,9952
0,-1716,-12004,19404,-11596,-6444,14660,4880,5584,14616,6224,-11140,-10908,-1148,5988,17484,-11588,3164,9884
0,-1524,-10512,21168,-10392,-5672,16588,4876,5144,14856,6192,-11280,-11140,-700,4852,18836,-11352,2208,9836
0,-832,-11304,19596,-10352,-5284,16432,4764,4452,15328,5892,-11616,-11720,-1072,5784,19796,-11804,900,10276
0,208,-12928,16492,-10184,-5696,14460,4732,3936,15544,5904,-11856,-12076,-884,5460,19408,-11336,-192,10772
0,1016,-14616,13840,-10776,-7532,12236,4500,3400,15792,5488,-12300,-12524,-1220,4536,18964,-11304,860,11040
0,-8,-15184,12592,-10544,-7948,11192,4520,3640,16164,6332,-12576,-12768,-992,3740,18576,-11428,1608,11028
0,-1264,-14368,12292,-10700,-7608,10212,5084,3488,16744,5300,-13364,-12872,-852,3756,18396,-11188,1188,11364
0,-1072,-13396,12104,-11016,-8308,9372,6168,4280,16820,5280,-13624,-13112,-748,3852,17968,-10972,1076,11772
0,-896,-13836,11700,-10532,-8968,9184,5816,4808,16940,5708,-13624,-12988,-876,3508,17592,-10836,2408,11476
0,-816,-13820,10368,-10308,-8524,9556,5216,4972,16548,5236,-13668,-12488,-1152,3384,17280,-10980,1788,11592
0,-1500,-13332,9092,-10548,-7528,9668,5100,4868,15976,6724,-13720,-12136,-1296,3352,17036,-11160,732,11272
0,-2616,-12436,8952,-10756,-7176,9676,4732,5572,15676,6772,-14048,-11780,-1532,3816,16916,-10924,1068,11228
0,-2940,-11556,9300,-10720,-7200,10244,4064,5176,15084,4524,-15780,-11120,-1420,3900,16908,-10724,500,10800
0,-3328,-11048,10072,-10560,-7008,10600,4688,5816,14568,7376,-14596,-11120,-1140,3508,17176,-10456,860,10612
0,-3572,-10700,11068,-10776,-6704,10748,4232,5588,14424,7768,-15536,-10656,-1052,3852,17348,-10904,396,10732
0,-3292,-10284,12276,-10644,-7036,11564,4432,7468,14284,6984,-15344,-10928,-684,3912,17780,-10720,664,10668
0,-2764,-9848,13284,-10660,-6648,11292,4768,7768,14084,7316,-16060,-10272,-844,4092,17980,-10728,860,10484
0,-2964,-9424,13808,-10676,-6768,11100,5348,8612,13772,7712,-16516,-9644,-1380,4136,17600,-11284,1044,10448
0,-2948,-9432,13792,-10312,-7148,11268,4516,8344,13284,8704,-17216,-9384,-1736,4816,17704,-12064,1864,10068
0,-2948,-9336,12828,-10296,-6140,10576,3488,9052,12524,9516,-18132,-8776,-2284,4972,17440,-12604,1988,9952
0,-3084,-9788,11484,-10408,-5196,10548,3292,8872,11892,8804,-17696,-7948,-2588,5056,17244,-12836,1736,9600
0,-3400,-10148,10408,-10816,-5152,10528,4004,8772,10836,9412,-18372,-7956,-2672,4496,16620,-12632,1992,9548
0,-3484,-10124,10040,-11028,-5656,9824,4668,10400,10496,9424,-17916,-7356,-2292,4536,16080,-12144,2288,9800
0,-3172,-10984,10240,-10796,-6264,8948,4400,11472,10152,8504,-18172,-7208,-1684,4780,16020,-11736,2124,9296
0,-3164,-12112,10412,-11036,-6808,9092,5100,11708,9352,7676,-18204,-6312,-1452,4584,16568,-11468,1212,8700
0,-2828,-12308,11176,-11420,-6844,9252,5200,13220,8676,7916,-17712,-5880,-1956,4480,16568,-11440,828,7828
0,-3064,-12276,11964,-11704,-6824,9740,3780,13320,7604,8400,-16876,-5228,-2560,4772,16416,-11920,528,7304
0,-2368,-12916,12528,-11432,-6564,10712,3560,13040,6200,8152,-15756,-4388,-3268,6508,16560,-12984,1636,6552
0,-2108,-12976,12736,-11172,-6848,10804,4328,12728,4992,7240,-15440,-3560,-3708,6880,16400,-13480,1488,5992
0,-2024,-12972,13116,-11092,-7336,11116,4352,13004,4324,6128,-14504,-2792,-4156,7048,15828,-13972,1772,6452
0,-1492,-13608,13496,-10880,-6888,11260,3180,13632,3424,6964,-13632,-1992,-4612,6620,15460,-14460,1748,6728
0,-1324,-14084,13512,-11048,-6184,11116,3348,13448,2640,6884,-13384,-1316,-4744,6412,15076,-14252,1724,6744
0,-1828,-13320,13236,-11140,-6388,11460,2516,12452,1612,6400,-12744,-672,-4344,5968,15092,-13940,1624,7020
0,-2636,-12484,12772,-11168,-7148,11508,1952,12388,572,6724,-11384,-116,-3864,5684,15560,-13268,1188,7412
0,-2520,-12604,12116,-11316,-7712,10744,2664,12188,-76,5360,-10832,364,-3556,5684,15772,-13048,808,7512
0,-2488,-12704,11756,-11208,-6964,10108,4348,13016,-504,3852,-9996,872,-3540,5636,15880,-13164,764,7652
0,-2824,-12580,11128,-11452,-6904,9888,5144,13848,-672,3800,-8996,1576,-3756,5368,16344,-13296,700,7844
0,-2836,-12952,10928,-11276,-7052,9392,4996,14892,-964,4020,-8128,2228,-3692,4960,16388,-13424,928,8120
0,-2608,-12680,10840,-11040,-7500,9408,5392,16048,-972,3768,-7212,2804,-3432,4836,16852,-13188,1104,8216
0,-2444,-13032,10232,-10844,-7140,9408,5160,16940,-1004,3260,-6844,3432,-3084,4836,16756,-12860,1296,8308
0,-2852,-13136,10456,-10912,-7544,9900,5876,16920,-788,2284,-6272,3724,-2860,5348,16492,-12696,1704,8780
0,-2720,-13448,10928,-10852,-8568,9924,5720,17328,-684,2756,-6164,3880,-2572,5368,16072,-12552,1648,9508
0,-2412,-13640,11108,-10824,-8336,9076,6728,17508,-296,1388,-6220,4156,-2008,6004,15640,-12232,1444,9840
0,-2424,-12440,10068,-11124,-7432,9668,6768,16964,8,1864,-6592,4276,-2308,5160,15936,-12052,2036,9416
0,-2760,-12352,10384,-11068,-7252,10256,6644,17132,116,2248,-6776,4604,-2084,5368,15884,-12072,2348,9204
0,-2772,-11604,10252,-10984,-7352,9888,6436,16892,-168,2340,-6420,4904,-1832,5100,16572,-11768,2828,9296
0,-2924,-12572,11028,-11156,-7448,9964,5988,16740,-264,2932,-5936,4864,-1516,5328,17080,-11612,2040,9668
0,-2976,-11572,11080,-11324,-6684,9920,5240,15752,-384,3588,-5636,4928,-1584,5440,16992,-11632,1632,9596
0,-3060,-11288,11436,-11228,-6140,10044,5808,14772,-512,3668,-5640,4916,-1740,5140,17124,-11696,1000,9780
0,-3796,-10756,11272,-11104,-5856,9864,5872,13812,-532,3884,-6232,4748,-2176,4924,16984,-12004,1208,10008
0,-3880,-10324,11480,-11500,-6100,9820,5976,12444,-592,5656,-8720,5132,-2224,5244,16676,-12308,1220,10076
0,-3116,-10812,11272,-11284,-6224,10276,2828,13552,-852,8364,-12896,6564,-2584,5684,16844,-12608,2184,9808
0,-2868,-11424,11844,-11140,-6228,10348,4836,15724,-1200,11856,-15908,7756,-2560,5864,16584,-12648,2224,9540
0,-2872,-11544,11656,-11316,-6048,10476,8244,19088,-916,14916,-18828,8992,-2780,6432,15968,-12552,2160,9224
0,-2708,-11380,11380,-11388,-6252,10724,11412,22724,-780,17268,-21068,9936,-3032,5944,14520,-12332,2092,8996
0,-2848,-11500,11368,-11256,-6380,10524,12456,25028,-300,18304,-22448,10288,-2312,7224,15484,-12148,2068,8120
0,-2840,-11868,11196,-10928,-6180,10860,13196,26064,512,19356,-22780,9920,-1788,7844,16616,-12028,2296,7632
0,-2660,-12164,11660,-10988,-6056,10828,13108,24932,896,18128,-22144,9104,-1644,7992,17552,-11844,2952,7612
0,-2684,-11976,11596,-11004,-5628,10888,12864,22800,1044,16196,-20184,8024,-1392,7276,17936,-11468,3036,7272
0,-2900,-11544,11568,-11020,-5244,10704,11700,19688,888,14048,-17268,6964,-1820,5660,17468,-11300,2476,8364
0,-2996,-11284,11788,-11300,-5236,10616,10460,16920,572,11712,-13872,5924,-2684,4500,16560,-12084,2900,8776
0,-3036,-11652,12456,-11172,-5336,10536,8912,14304,380,9992,-11336,5228,-2516,4744,16136,-11856,2060,9376
