trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-1064,-7532,15612,-8500,-4992,13856,8180,14256,900,9792,-13160,4964,-11052,2348,12860,-8144,-1220,12680
0,-1208,-7584,15456,-8504,-5116,13884,8272,14328,964,9716,-13156,5024,-10968,2312,12872,-8044,-1064,12672
0,-1160,-7504,15564,-8516,-5064,13828,8324,14240,796,9912,-13124,5152,-11004,2376,12812,-8144,-1116,12592
0,-1120,-7584,15524,-8484,-4936,13796,8336,14384,860,9784,-13088,5192,-10964,2328,12896,-8100,-1112,12528
0,-1152,-7512,15692,-8476,-4884,13616,8248,14492,912,9788,-13148,4952,-10968,2280,12776,-8124,-1192,12712
0,-1184,-7408,15632,-8400,-4980,13796,8416,14384,912,9744,-13084,4900,-11040,2224,12932,-8064,-1172,12608
0,-1284,-7424,15688,-8556,-5028,14064,8324,14408,864,9856,-13160,5132,-11040,2260,12836,-8184,-1224,12624
0,-1200,-7440,15648,-8476,-4924,13912,8360,14504,844,9904,-13108,5188,-10964,2188,12920,-8224,-1216,12656
0,-1184,-7356,15772,-8496,-5004,13868,8364,14400,820,9908,-13200,5296,-10956,2292,12788,-8112,-1172,12540
0,-1164,-7444,15672,-8424,-4912,13752,8348,14356,900,9944,-13036,5132,-10864,2364,12848,-8084,-1060,12676
0,-1196,-7440,15684,-8540,-5004,13824,8252,14420,872,9736,-13136,5100,-10848,2252,12824,-8116,-1152,12680
0,-1216,-7480,15708,-8456,-4876,13696,8340,14436,864,9676,-13048,5152,-10888,2280,12852,-8180,-1124,12624
0,-1288,-7536,15788,-8496,-4992,13776,8304,14380,860,9816,-13060,5188,-10872,2356,12824,-8144,-1096,12576
0,-1064,-7520,15684,-8452,-5100,13832,8352,14488,876,9792,-13208,5152,-10920,2204,12816,-8060,-1080,12556
0,-1236,-7508,15556,-8452,-5028,13560,8320,14392,884,9752,-13144,5120,-11024,2248,12880,-8084,-1080,12684
0,-1184,-7616,15616,-8576,-5032,13672,8204,14384,836,9772,-13180,5248,-10956,2284,12760,-8140,-1108,12808
0,-1104,-7268,15676,-8388,-5016,13788,8192,14360,712,9812,-13156,5136,-10888,2344,12872,-8208,-1080,12760
0,-1236,-7456,15668,-8484,-5100,13728,8180,14380,868,9764,-13124,5060,-10940,2292,12940,-8084,-1092,12556
0,-1160,-7652,15540,-8548,-4952,13952,8196,14412,680,9700,-13116,5276,-10932,2392,13008,-8188,-1148,12636
0,-996,-7320,15628,-8380,-4956,13824,8212,14284,792,9808,-13096,5064,-10924,2396,12884,-8128,-1076,12708
0,-1304,-7536,15600,-8400,-5068,13764,8196,14316,716,9888,-13052,5092,-10856,2276,12892,-8108,-1100,12652
0,-1260,-7404,15508,-8536,-5180,13696,8404,14284,960,9652,-13148,5124,-10928,2260,12928,-8236,-1128,12544
0,-1308,-7356,15708,-8528,-5056,13780,8264,14368,856,9752,-13124,5328,-10904,2224,12996,-8204,-1104,12700
0,-1256,-7460,15648,-8452,-4960,13856,8244,14296,788,9752,-13108,5092,-10868,2324,12784,-8140,-1004,12640
0,-1212,-7528,15612,-8528,-4980,13616,8220,14436,972,9844,-13260,5076,-10892,2392,12760,-8096,-1020,12608
0,-1160,-7520,15680,-8492,-4980,13584,8264,14284,940,9876,-13156,5080,-11028,2312,12900,-8192,-1076,12688
0,-1260,-7356,15508,-8440,-4948,13784,8360,14460,900,9900,-13200,5104,-10924,2380,12792,-8008,-1132,12708
0,-1176,-7504,15580,-8432,-4936,13776,8264,14344,740,9892,-13100,5128,-10900,2416,12816,-8208,-1092,12708
0,-1244,-7416,15636,-8460,-4956,13756,8228,14460,924,9872,-13100,5168,-10924,2408,12684,-8100,-1052,12648
0,-1196,-7260,15544,-8488,-4908,13692,8404,14352,1004,9856,-13148,5148,-10952,2296,13012,-8164,-1020,12596
0,-1248,-7364,15488,-8536,-4916,13788,8452,14376,1000,9820,-13132,5208,-10884,2332,12740,-8096,-1144,12652
0,-1276,-7392,15456,-8608,-4892,13888,8516,14316,964,9844,-13052,5060,-11036,2236,12884,-8100,-1140,12464
0,-1260,-7324,15480,-8408,-4976,13756,8384,14376,780,9868,-13040,5192,-10960,2224,12884,-8172,-1248,12544
0,-1188,-7356,15456,-8424,-4896,13632,8272,14364,772,9932,-13056,5224,-10980,2136,12740,-8144,-1232,12572
0,-1272,-7428,15544,-8544,-4956,13740,8244,14500,656,9800,-13044,5168,-10924,2020,12908,-8172,-1344,12484
0,-1276,-7480,15540,-8408,-4912,13816,8172,14432,792,9820,-13180,5188,-10984,2076,12828,-8140,-1328,12664
0,-1276,-7364,15512,-8464,-4988,14100,8272,14524,708,9748,-13192,5220,-10928,2136,12912,-8028,-1088,12556
0,-1232,-7420,15640,-8436,-4976,13868,8244,14508,888,9644,-12972,5156,-10920,2160,12796,-8084,-1280,12536
0,-1212,-7452,15688,-8472,-5044,13888,8196,14492,816,9704,-13024,5196,-10972,2344,12908,-7944,-1152,12740
0,-1124,-7324,15556,-8476,-5000,13656,8112,14336,952,9712,-13068,4976,-10908,2428,13068,-8008,-1020,12748
0,-1116,-7588,15644,-8456,-5008,13796,8060,14308,816,9532,-13012,5124,-10924,2516,12936,-8164,-1072,12640
0,-1096,-7728,15664,-8472,-5144,13944,8196,14232,956,9768,-13024,5284,-10988,2504,13008,-8112,-888,12872
0,-1048,-7820,15668,-8460,-4976,14012,8184,14436,824,9752,-13256,5108,-10908,2472,13252,-8148,-836,12980
0,-1080,-7700,15660,-8500,-5112,14044,8316,14480,872,9836,-13384,5092,-11092,2528,13016,-8064,-888,13140
