trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,964,-4476,17112,-404,-4708,16704,7584,14468,3480,9060,-13724,4884,-884,9280,14496,-480,8588,12580
0,956,-4548,17168,-564,-4704,16712,7532,14412,3496,9156,-13712,4784,-896,9376,14624,-412,8532,12236
0,836,-4608,16924,-516,-4592,16740,7424,14508,3484,9136,-13768,4808,-868,9228,14496,-336,8540,12520
0,816,-4804,16980,-568,-4560,16740,7520,14452,3464,9008,-13724,4700,-944,9280,14608,-460,8452,12600
0,832,-4596,17108,-440,-4672,16704,7496,14364,3324,9048,-13684,4740,-1008,9160,14608,-412,8444,12680
0,812,-4656,16840,-512,-4620,16780,7500,14384,3464,9040,-13692,4908,-932,9188,14632,-348,8512,12664
0,816,-4720,16812,-464,-4504,16596,7596,14440,3576,9152,-13640,4752,-1008,9092,14792,-464,8328,12588
0,624,-4444,16644,-544,-4444,16680,7676,14552,3444,9192,-13632,4820,-980,9024,14660,-368,8336,12792
0,628,-4580,16660,-572,-4476,16420,7648,14436,3560,9312,-13612,5040,-984,9124,14648,-400,8280,12640
0,656,-4656,16676,-548,-4344,16392,7680,14568,3344,9260,-13552,4964,-908,9072,14760,-376,8392,12644
0,608,-4532,16636,-684,-4392,16524,7580,14500,3392,9272,-13600,4900,-992,9128,14756,-332,8364,12736
0,584,-4520,16836,-576,-4620,16704,7768,14456,3444,9324,-13600,4952,-1056,9028,14808,-396,8480,12760
0,608,-4688,17240,-608,-4556,16672,7748,14556,3432,9236,-13616,5040,-1020,9180,14864,-300,8392,12824
0,612,-4716,17076,-660,-4540,16564,7692,14528,3476,9412,-13548,4912,-984,9140,14808,-472,8452,12728
0,612,-4896,17156,-580,-4740,16564,7676,14428,3472,9160,-13572,4920,-1088,9128,14676,-384,8520,12808
0,692,-4944,17188,-604,-4868,16532,7788,14604,3424,9312,-13580,4936,-1028,9272,14628,-424,8676,12720
0,604,-4980,16860,-492,-4868,16480,7764,14448,3392,9356,-13620,4752,-1104,9348,14440,-444,8580,12748
0,508,-4772,16896,-636,-4708,16740,7696,14404,3360,9308,-13696,4824,-1064,9268,14748,-420,8576,12564
0,740,-5376,16760,-324,-4884,16456,7532,14428,3476,9264,-13604,4896,-1012,9236,14636,-428,8568,12608
0,512,-5092,16704,-556,-4684,16528,7668,14444,3520,9268,-13544,4884,-948,9220,14620,-500,8644,12716
0,456,-4756,16596,-632,-4500,16444,7484,14408,3364,9240,-13576,4744,-972,9220,14596,-516,8616,12508
0,292,-4716,16436,-560,-4360,16604,7548,14288,3304,9124,-13532,4892,-1000,9292,14640,-480,8656,12692
0,300,-4416,16400,-684,-4392,16604,7668,14228,3340,9032,-13532,4888,-1076,9296,14528,-376,8568,12676
0,296,-4516,16508,-552,-4284,16544,7596,14316,3472,9040,-13592,4872,-1004,9308,14648,-412,8496,12768
0,304,-4388,16672,-748,-4320,16800,7588,14272,3332,9072,-13624,4880,-1032,9240,14720,-460,8460,12788
0,272,-4668,16888,-552,-4324,16780,7460,14448,3432,9060,-13588,4744,-1032,9256,14704,-396,8528,12836
0,292,-4860,16988,-624,-4516,16736,7432,14436,3436,9180,-13600,4756,-944,9024,14724,-364,8452,12848
0,216,-4488,16920,-720,-4288,16980,7504,14456,3408,9212,-13620,4944,-956,9036,14864,-396,8520,12752
0,144,-4448,17060,-716,-4116,17044,7548,14512,3412,9228,-13676,4988,-996,9072,14760,-244,8480,12808
0,332,-4780,17000,-660,-4204,16800,7564,14520,3540,9444,-13636,4736,-972,8992,14964,-280,8456,12668
0,380,-4852,16900,-520,-4300,16652,7652,14572,3456,9340,-13608,4876,-912,9052,14668,-344,8520,12788
0,296,-4424,16720,-668,-4284,16708,7700,14468,3332,9296,-13692,4840,-896,9192,14700,-364,8460,12640
0,252,-4644,16984,-572,-4200,16512,7724,14536,3420,9304,-13648,4864,-948,9228,14580,-392,8592,12576
0,264,-4616,16704,-756,-4160,16904,7728,14352,3368,9356,-13620,4812,-952,9288,14720,-408,8532,12444
0,88,-4484,16628,-728,-4332,16728,7716,14396,3340,9372,-13656,4912,-984,9308,14608,-444,8596,12576
0,212,-4512,16660,-676,-4048,16548,7796,14396,3588,9320,-13588,4760,-1032,9312,14588,-500,8492,12528
0,168,-4476,16708,-784,-4156,16580,7744,14504,3436,9204,-13620,4856,-1104,9364,14716,-564,8564,12644
0,124,-4556,16788,-592,-4156,16664,7628,14388,3524,9244,-13636,4832,-1024,9260,14604,-564,8668,12608
0,248,-4532,16916,-632,-4284,16680,7676,14428,3392,9148,-13652,4840,-1092,9224,14664,-452,8540,12636
0,376,-4868,16832,-492,-4396,16596,7648,14432,3492,9156,-13576,4896,-1024,9204,14688,-408,8516,12648
0,228,-4764,16712,-584,-4336,16688,7600,14352,3480,9152,-13664,4924,-972,9260,14552,-444,8548,12716
0,228,-4648,16792,-644,-4160,16800,7644,14336,3544,9212,-13708,4820,-1012,9224,14760,-372,8544,12884
0,244,-4584,16784,-636,-4168,16600,7588,14468,3360,9188,-13628,4944,-904,9212,14776,-324,8496,12688
0,320,-4516,16812,-728,-4160,16832,7596,14376,3476,9272,-13572,4908,-956,9180,14696,-444,8520,12680
0,252,-4640,16960,-628,-4328,16740,7524,14432,3336,9196,-13548,4884,-976,9004,14628,-264,8476,12628
0,204,-4612,16884,-700,-4264,16724,7504,14512,3460,9144,-13620,4856,-968,9008,14544,-420,8488,12516
0,196,-4672,16932,-632,-4320,16892,7500,14420,3364,9072,-13612,4932,-1036,9080,14672,-368,8372,12680
0,276,-4548,17032,-740,-4256,16768,7588,14536,3360,9124,-13732,4860,-896,9004,14592,-372,8352,12492
0,340,-4624,16956,-720,-4140,16872,7600,14556,3424,9144,-13628,4972,-940,9100,14596,-480,8368,12580
0,224,-4688,16964,-736,-4216,16744,7660,14480,3372,9216,-13640,4856,-940,9072,14592,-448,8484,12600
0,248,-4704,16660,-672,-4324,16688,7624,14556,3416,9220,-13584,4924,-956,9184,14652,-460,8328,12468
0,180,-4620,16728,-604,-4160,16752,7520,14500,3428,9156,-13584,4964,-1008,9196,14684,-348,8416,12760
0,120,-4536,16712,-744,-4220,16652,7532,14424,3532,9272,-13624,4864,-952,9196,14692,-368,8508,12584
0,232,-4684,16744,-644,-4336,16720,7628,14408,3404,9280,-13612,4824,-980,9200,14668,-364,8508,12644
0,196,-4628,16660,-668,-4360,16596,7568,14500,3552,9196,-13592,5008,-940,9172,14736,-388,8576,12736
0,260,-4600,16744,-604,-4284,16636,7588,14440,3556,9060,-13648,4792,-1044,9160,14552,-360,8540,12824
0,248,-4700,16788,-628,-4248,16664,7592,14380,3672,9124,-13592,4908,-940,9152,14624,-372,8496,12668
0,256,-4756,16740,-600,-4400,16540,7532,14348,3456,9144,-13620,4836,-968,9096,14624,-336,8372,12720
0,344,-4932,16808,-688,-4340,16608,7576,14444,3508,9124,-13756,4844,-1044,9140,14716,-388,8424,12660
0,428,-4748,16708,-588,-4356,16600,7664,14452,3432,9248,-13668,4836,-1024,9104,14720,-308,8472,12668
0,216,-4836,16708,-656,-4288,16796,7564,14500,3484,9176,-13644,4960,-972,9172,14644,-532,8416,12780
0,220,-4776,16748,-596,-4292,16860,7560,14460,3428,9116,-13708,4792,-1012,9176,14624,-460,8488,12664
0,336,-4752,16852,-716,-4244,16736,7576,14532,3412,9208,-13636,4872,-988,9216,14692,-420,8504,12616
0,176,-4572,16928,-624,-4196,16780,7584,14528,3528,9236,-13604,4956,-964,9160,14640,-452,8456,12652
0,200,-4576,16820,-752,-4128,16804,7564,14520,3428,9292,-13500,4856,-980,9184,14680,-340,8548,12644
0,244,-4640,16804,-704,-4124,16772,7692,14488,3532,9236,-13620,4900,-1028,9276,14676,-524,8488,12608
0,244,-4756,16880,-704,-4224,16456,7548,14504,3516,9140,-13600,4896,-1132,9252,14648,-432,8544,12640
0,324,-4752,16800,-632,-4352,16720,7600,14372,3288,9224,-13584,4788,-976,9228,14680,-424,8496,12744
0,224,-4712,16592,-616,-4312,16656,7612,14464,3384,9200,-13640,4864,-1016,9256,14632,-428,8484,12708
0,180,-4664,16664,-688,-4292,16744,7552,14344,3416,9236,-13488,4928,-1104,9256,14560,-400,8548,12632
0,140,-4764,16724,-668,-4332,16748,7648,14404,3496,9192,-13600,4936,-980,9248,14508,-448,8524,12612
0,212,-4744,16624,-620,-4292,16528,7608,14436,3300,9208,-13572,4860,-976,9196,14628,-524,8572,12664
0,240,-4744,16944,-724,-4468,16684,7740,14496,3536,9248,-13640,4832,-952,9220,14592,-428,8556,12760
0,140,-4788,16920,-692,-4248,16588,7712,14492,3456,9348,-13608,4908,-1016,9272,14664,-416,8580,12900
