trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-9496,-1404,14752,-9172,1044,14936,7564,15072,4200,10256,-14332,4344,-7404,836,15640,-8004,-2832,12364
0,-9684,-1164,14780,-9192,1092,15020,7344,14992,4004,9740,-13848,4396,-7556,248,15588,-8220,-3244,12392
0,-9644,-1048,14620,-9284,1036,14944,7320,15028,3768,9280,-13568,4592,-7704,-164,15752,-8160,-3672,12520
0,-9576,-1252,14416,-9176,932,14724,6984,14848,3672,8888,-13292,4532,-7828,-404,15700,-8184,-3876,12448
0,-9316,-1364,14496,-9052,816,14548,7172,14616,3412,8572,-13304,4528,-7840,-580,15972,-8052,-3956,12768
0,-9132,-1512,14180,-8816,608,14344,7136,14568,3408,8496,-13216,4620,-7860,-668,15912,-7996,-4184,12796
0,-9068,-1776,14048,-8920,372,14188,7180,14460,3304,8512,-13200,4976,-7584,-528,16236,-8020,-4084,12728
0,-9112,-1752,14040,-8888,364,14128,7204,14376,3072,8608,-13156,4940,-7440,-104,16332,-7820,-3960,12720
0,-9156,-1820,13816,-8984,444,14180,7252,14568,3056,8560,-13132,5084,-7360,124,16080,-7736,-3580,12568
0,-9196,-2024,13980,-8928,336,13928,7180,14612,2988,8716,-13092,5120,-7188,424,16004,-7608,-3300,12680
0,-9156,-2028,13920,-9080,240,13820,7376,14744,2996,8748,-13168,5304,-7032,724,16020,-7592,-3068,12568
0,-9280,-2144,13956,-9148,160,13700,7252,14776,2932,8680,-13208,5288,-6804,924,16020,-7352,-2732,12780
0,-9476,-2096,13944,-9428,268,13860,7416,14792,2768,8556,-13164,5340,-6664,1100,16292,-7344,-2564,12788
0,-9456,-2136,13784,-9504,412,13876,7340,14752,2980,8632,-13288,5388,-6916,1212,16152,-7108,-2672,12780
0,-9536,-2272,13808,-9416,252,14016,7464,14372,2888,8236,-13456,5320,-6676,1084,16236,-7176,-2676,13076
0,-9312,-2100,13688,-9384,-24,13760,8028,14232,3052,8228,-13512,5068,-6632,1100,16356,-7140,-2460,13116
0,-9320,-2104,13616,-9356,60,13616,8080,14024,3208,7996,-13836,5000,-6508,1400,16392,-7104,-2456,13124
0,-9364,-1972,13412,-9328,244,13684,7760,13784,3284,7992,-14084,4908,-6616,1392,16392,-7032,-2272,13468
0,-9292,-1944,13760,-9312,356,13404,7664,14008,3440,8124,-14116,4996,-6628,1380,16376,-7240,-2280,13388
0,-9232,-2076,13636,-9236,180,13272,7340,14208,3308,8248,-14304,5076,-6548,1356,16432,-7156,-2416,13252
0,-9416,-1608,13644,-9344,584,13624,7104,14900,3220,8400,-13776,5344,-6792,1188,16544,-7264,-2496,13264
0,-9752,-1512,13472,-9408,580,13748,7072,14780,2904,8644,-13908,5568,-6788,988,16496,-7320,-2728,13332
0,-9816,-1692,13424,-9444,548,14012,6860,15200,2944,8840,-13548,5664,-6960,800,16368,-7480,-2992,13272
0,-9820,-1268,13328,-9556,1040,14084,6992,15448,2508,8940,-13624,5848,-7108,520,15928,-7488,-3144,12892
0,-8992,-1176,13396,-9616,1052,13752,6840,15928,2444,8924,-13336,6316,-7216,492,15672,-7696,-3108,12676
0,-9752,-1540,13416,-8992,940,13676,6984,15744,2344,8908,-13636,6228,-7456,296,15248,-7796,-3096,12176
0,-9628,-1512,13416,-9116,928,13924,7188,15948,2264,8880,-13436,6460,-7512,48,15204,-7864,-3320,11956
0,-9664,-1164,13412,-9200,1060,14008,7228,16040,2032,9004,-13276,6536,-7764,-296,14856,-8168,-3536,11804
0,-9744,-1072,13488,-9056,1304,13872,7184,15936,2100,8952,-13184,6500,-7896,-524,14828,-8024,-3720,11512
0,-9864,-720,13512,-9088,1612,14204,7364,16340,1920,8776,-13072,6660,-7832,-508,14712,-8136,-3840,11436
0,-10076,-808,13300,-9108,1592,14240,7156,16064,2008,8808,-12972,6580,-7968,-612,14852,-8140,-3964,11420
0,-9988,-592,13100,-9052,1536,14300,7320,15740,1744,8900,-12900,6596,-7972,-712,15016,-8048,-4064,11616
0,-9896,-1076,13620,-9152,1452,14148,7168,15472,1968,8716,-12816,6348,-7808,-664,15192,-7940,-4056,11948
0,-9924,-828,13764,-9160,1452,14404,7176,15352,1804,8764,-12716,6232,-7644,-76,15352,-7872,-3772,12024
0,-9912,-932,13732,-8920,1296,14392,7016,15188,1996,8748,-12720,6112,-7744,212,15232,-7992,-3416,11840
0,-10040,-1304,13556,-9048,1236,14576,6780,15072,2100,8596,-12880,5880,-7712,316,15308,-7988,-3184,11948
0,-9892,-1340,13700,-9044,1016,14480,6788,14860,2192,8648,-12892,5944,-7748,272,15292,-8000,-3212,12228
0,-9732,-1376,13616,-9176,972,14180,7032,14716,2408,8552,-13100,5840,-7500,232,15572,-7892,-3504,12176
0,-9736,-1524,13860,-9160,836,14184,6932,14680,2416,8548,-13128,5644,-7552,432,15792,-7824,-3440,12416
0,-9792,-1848,13856,-9096,592,14020,7132,14688,2572,8616,-13260,5652,-7420,664,15844,-7804,-3252,12540
0,-9556,-1920,13636,-9012,472,13952,7108,14624,2788,8784,-13472,5544,-7444,592,15640,-7796,-3152,12460
0,-9660,-2192,13268,-9072,440,14020,7244,14772,2844,8960,-13636,5544,-7524,344,15536,-7880,-3224,12568
0,-9652,-2180,13228,-9040,428,14096,7476,14616,3056,8944,-13740,5408,-7492,276,15468,-7768,-3112,12364
0,-9660,-2012,13368,-9016,420,14060,7396,14688,3032,9072,-13876,5352,-7416,312,15672,-7796,-3128,12456
0,-9708,-2024,13472,-8948,552,14292,7400,14568,3112,9024,-13932,5384,-7396,152,15644,-7664,-3292,12456
0,-9732,-1992,13680,-9052,544,14364,7512,14560,3252,9028,-13908,5404,-7220,232,15740,-7616,-3312,12496
0,-9844,-1840,13744,-9188,624,14432,7520,14568,3180,8776,-14032,5292,-7128,292,15920,-7552,-3260,12672
0,-9740,-1796,13984,-9064,840,14400,7356,14572,3300,8784,-13896,5232,-7208,440,16044,-7576,-3012,12512
0,-9716,-1748,14052,-9064,864,14632,7244,14540,3304,8728,-14008,5148,-7120,576,15904,-7660,-2988,12680
0,-9764,-1728,14060,-8976,896,14748,7052,14472,3368,8572,-14072,5124,-7216,576,16000,-7740,-3032,12532
