trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,5208,-3344,16580,-2196,3620,16416,-472,16392,3676,-28,-16404,3832,320,5928,16464,192,4976,14136
0,5284,-3256,16724,-2352,3740,16432,-388,16324,3656,-24,-16364,3976,384,6052,16576,252,5056,14276
0,5304,-3332,16616,-2188,3700,16364,-360,16296,3656,16,-16316,3876,308,6100,16312,296,4996,14264
0,5156,-3304,16484,-2304,3736,16380,-436,16260,3616,-40,-16396,4100,332,6180,16300,204,5092,14284
0,5232,-3304,16712,-2204,3800,16444,-460,16476,3712,16,-16384,3900,352,6088,16448,264,5212,14264
0,5336,-3200,16428,-2284,3680,16468,-432,16312,3660,60,-16348,3936,388,6100,16432,148,5084,14260
0,5204,-3320,16576,-2276,3672,16344,-488,16288,3484,-60,-16336,3900,336,6008,16444,244,5140,14268
0,5248,-3268,16520,-2148,3612,16472,-416,16392,3572,-4,-16360,3796,300,6024,16504,280,5004,14436
0,5324,-3288,16664,-2252,3680,16572,-416,16316,3708,0,-16472,3968,396,6020,16364,96,4960,14320
0,5324,-3284,16672,-2204,3680,16564,-508,16316,3568,-28,-16416,3940,372,6104,16452,280,5044,14344
0,5264,-3296,16660,-2328,3632,16408,-332,16372,3616,84,-16440,3856,268,6056,16496,212,5080,14284
0,5316,-3300,16604,-2248,3736,16552,-456,16376,3580,40,-16436,3868,312,6044,16416,188,5032,14272
0,5196,-3292,16572,-2284,3704,16536,-504,16348,3576,-88,-16384,3812,396,6060,16488,196,4944,14188
0,5244,-3272,16536,-2284,3740,16416,-396,16372,3636,-112,-16452,3872,332,6056,16500,280,4996,14300
0,5312,-3284,16708,-2252,3740,16620,-496,16388,3732,16,-16436,3848,308,6060,16488,240,5084,14288
0,5308,-3328,16572,-2356,3728,16348,-448,16272,3612,-40,-16372,3944,336,6116,16516,296,5080,14188
0,5240,-3364,16640,-2252,3756,16460,-376,16360,3580,-64,-16460,3832,392,6008,16468,252,5072,14288
0,5248,-3356,16620,-2240,3664,16408,-584,16240,3648,16,-16360,3932,368,6024,16420,132,5120,14440
0,5184,-3352,16548,-2308,3704,16384,-512,16376,3608,-80,-16368,3848,324,6020,16396,252,5096,14220
0,5256,-3344,16588,-2232,3724,16472,-496,16296,3644,-76,-16424,3864,372,5928,16436,236,5064,14196
0,5236,-3380,16528,-2256,3668,16460,-496,16424,3768,-60,-16396,4052,348,5988,16528,172,5088,14152
0,5160,-3284,16584,-2232,3668,16516,-376,16384,3756,-120,-16384,3960,400,6004,16436,248,4948,14192
0,5328,-3320,16560,-2296,3680,16532,-428,16300,3676,-72,-16416,3964,308,5996,16400,164,5016,14256
0,5276,-3360,16556,-2212,3708,16588,-484,16432,3760,-76,-16396,3876,384,6048,16464,268,5072,14324
0,5260,-3308,16608,-2272,3728,16540,-428,16328,3616,-88,-16388,4000,312,5992,16448,184,4944,14340
0,5204,-3360,16728,-2348,3756,16372,-460,16392,3876,-16,-16376,4064,268,5972,16440,212,5108,14344
0,5112,-3352,16636,-2324,3772,16460,-428,16416,3724,20,-16436,3876,364,6080,16444,188,5040,14212
0,5216,-3328,16560,-2308,3744,16336,-408,16344,3544,-80,-16380,3828,268,5984,16528,172,5024,14280
0,5216,-3324,16680,-2216,3728,16424,-460,16448,3636,-56,-16420,4008,356,5944,16412,204,4988,14188
0,5156,-3264,16540,-2300,3720,16564,-368,16292,3644,-56,-16436,4068,364,6044,16452,148,5096,14300
0,5340,-3296,16720,-2272,3792,16548,-436,16356,3672,-144,-16440,3900,316,6108,16372,148,5112,14368
0,5232,-3272,16696,-2224,3632,16484,-396,16372,3712,-100,-16352,3788,432,6040,16488,132,5088,14380
0,5248,-3312,16400,-2252,3664,16400,-480,16328,3648,-96,-16400,3964,436,6012,16404,220,5128,14316
0,5160,-3272,16504,-2308,3692,16364,-420,16380,3560,-120,-16300,3800,348,5960,16476,224,5132,14332
0,5192,-3324,16644,-2368,3724,16468,-384,16408,3644,92,-16348,3872,308,6064,16504,236,5068,14168
0,5212,-3288,16620,-2188,3604,16496,-408,16300,3720,-72,-16408,3700,388,6048,16404,228,4980,14332
0,5192,-3328,16544,-2352,3752,16456,-468,16396,3752,-56,-16340,3880,344,6024,16388,184,5016,14276
0,5212,-3224,16464,-2276,3600,16500,-424,16380,3768,-56,-16428,3908,380,6048,16316,292,5080,14228
0,5164,-3312,16520,-2248,3832,16428,-432,16340,3776,4,-16336,3980,272,5940,16504,220,5000,14128
0,5192,-3280,16472,-2332,3676,16496,-380,16352,3676,-68,-16388,3928,340,5928,16448,192,5084,14364
0,5288,-3268,16692,-2180,3696,16572,-372,16424,3708,36,-16376,3828,380,6072,16420,184,5160,14180
0,5188,-3360,16584,-2212,3648,16588,-348,16360,3612,36,-16360,3848,400,6172,16500,240,5136,14276
0,5220,-3156,16620,-2256,3760,16556,-376,16324,3568,-32,-16380,3916,360,6116,16424,228,5144,14128
0,5364,-3288,16540,-2272,3700,16312,-488,16436,3668,-52,-16332,3936,332,6020,16392,200,5140,14244
0,5320,-3304,16668,-2336,3768,16444,-468,16356,3616,-88,-16408,3856,284,5916,16432,132,5084,14308
0,5328,-3220,16592,-2264,3648,16412,-420,16356,3680,-64,-16432,3932,328,5968,16412,188,5064,14268
0,5148,-3332,16528,-2344,3624,16460,-516,16388,3648,-124,-16324,3944,360,5924,16424,312,5044,14180
0,5232,-3264,16524,-2264,3672,16440,-408,16424,3840,-64,-16400,3888,404,6028,16460,180,5060,14384
0,5176,-3252,16580,-2252,3744,16488,-456,16268,3536,-88,-16380,4004,332,6092,16460,312,5160,14104
0,5308,-3368,16728,-2380,3736,16376,-484,16364,3676,-36,-16368,3680,396,6040,16428,328,5084,14236
0,5176,-3308,16524,-2264,3724,16380,-520,16220,3692,-64,-16336,3776,268,6080,16324,212,4964,14184
0,5436,-3304,16608,-2204,3776,16488,-432,16360,3716,-108,-16420,3884,368,5928,16456,216,5092,14260
0,5280,-3328,16576,-2204,3664,16492,-420,16400,3816,-44,-16436,3968,384,6036,16464,180,4996,14444
0,5320,-3280,16548,-2296,3688,16568,-372,16452,3456,16,-16336,3960,284,5996,16488,212,5132,14272
0,5172,-3348,16548,-2248,3712,16396,-440,16380,3724,-60,-16404,3924,284,5972,16408,288,5008,14236
0,5256,-3332,16588,-2300,3676,16468,-328,16368,3600,-32,-16468,3904,400,6104,16452,224,4984,14140
0,5280,-3388,16676,-2160,3648,16480,-364,16344,3576,-108,-16324,3952,300,6024,16432,192,4968,14288
0,5228,-3284,16516,-2224,3596,16668,-520,16436,3640,-68,-16320,4032,296,6096,16380,316,5000,14172
0,5308,-3416,16732,-2324,3708,16436,-448,16372,3524,-68,-16316,3928,444,5952,16404,308,4992,14292
0,5288,-3304,16604,-2208,3720,16476,-444,16436,3520,-144,-16312,3988,348,6020,16400,272,5064,14244
0,5180,-3352,16532,-2212,3684,16484,-532,16416,3708,-140,-16308,3956,432,6048,16408,216,5088,14260
0,5252,-3320,16672,-2248,3748,16428,-492,16344,3608,-96,-16316,3752,488,6076,16296,328,5084,14388
0,5216,-3208,16776,-2316,3740,16416,-536,16336,3796,-36,-16444,3880,320,6068,16404,164,5212,14184
0,5188,-3240,16660,-2236,3708,16464,-472,16348,3692,-160,-16440,3824,332,6116,16452,260,5280,14160
0,5228,-3284,16588,-2240,3820,16376,-456,16400,3620,-8,-16456,3788,468,6144,16364,264,5212,14336
0,5156,-3400,16544,-2220,3700,16540,-524,16308,3668,-16,-16480,3916,364,6116,16420,180,5200,14156
0,5284,-3376,16572,-2204,3580,16532,-416,16304,3876,40,-16468,3884,300,5968,16332,212,4880,14208
0,5256,-3352,16580,-2252,3560,16444,-396,16356,3692,-68,-16416,3820,416,5920,16408,248,5012,14184
0,5232,-3252,16704,-2276,3700,16348,-416,16328,3728,32,-16524,3768,328,6000,16516,196,4968,14116
0,5316,-3276,16600,-2304,3676,16512,-368,16332,3784,-32,-16412,3836,360,6080,16416,184,4932,14372
0,5276,-3292,16648,-2256,3740,16316,-340,16332,3564,-28,-16408,3912,356,5980,16376,220,4984,14180
0,5208,-3340,16624,-2168,3696,16360,-440,16424,3660,76,-16376,3836,408,5924,16424,172,5104,14332
0,5240,-3412,16580,-2312,3740,16484,-440,16268,3728,52,-16356,3876,352,6052,16556,180,5092,14392
0,5308,-3348,16752,-2336,3596,16364,-456,16380,3716,-144,-16316,3952,300,6044,16464,192,5104,14208
0,5144,-3248,16564,-2320,3644,16428,-424,16304,3592,8,-16284,3948,368,6100,16504,204,5064,14228
0,5244,-3292,16676,-2200,3660,16616,-484,16432,3656,-48,-16420,3956,400,5956,16448,276,5068,14380
0,5192,-3316,16476,-2196,3656,16668,-464,16404,3740,-56,-16368,3940,356,6072,16516,268,4972,14376
0,5220,-3368,16740,-2252,3608,16500,-568,16288,3564,-104,-16332,3928,268,6036,16412,228,5100,14260
0,5208,-3316,16568,-2236,3628,16588,-512,16292,3552,-64,-16376,3980,368,5964,16524,196,5116,14468
0,5264,-3276,16620,-2292,3716,16272,-540,16384,3680,-104,-16368,3832,432,6028,16388,336,5012,14352
0,5364,-3304,16560,-2148,3736,16436,-516,16452,3716,-220,-16552,4020,352,6008,16452,260,5180,14288
