trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,1536,-3588,17180,-2468,3276,16532,-640,16396,3660,-296,-16420,3744,608,4468,17004,-64,4736,14500
0,1576,-3592,17104,-2572,3200,16404,-680,16328,3648,-220,-16480,4024,548,4344,17036,-120,4688,14300
0,1496,-3624,17164,-2496,3204,16720,-696,16404,3564,-380,-16320,3760,748,4364,17052,-240,4552,14464
0,1600,-3708,17048,-2536,3248,16632,-680,16360,3700,-284,-16440,4012,652,4332,17072,-232,4532,14320
0,1448,-3588,17076,-2496,3232,16572,-640,16276,3628,-176,-16364,3836,640,4360,17088,-216,4548,14276
0,1612,-3660,17292,-2564,3136,16604,-744,16376,3632,-200,-16500,3892,632,4284,16952,-252,4636,14224
0,1576,-3592,17192,-2464,3220,16664,-584,16392,3696,-212,-16376,3848,696,4256,16912,-168,4548,14464
0,1476,-3680,17148,-2536,3324,16548,-708,16264,3612,-204,-16340,3920,620,4420,16944,-208,4612,14228
0,1576,-3512,17020,-2404,3272,16680,-532,16256,3664,-236,-16392,3828,628,4316,17120,-68,4580,14312
0,1692,-3640,17148,-2528,3276,16536,-668,16396,3668,-200,-16420,3964,676,4476,17208,-76,4604,14512
0,1560,-3656,17088,-2416,3216,16416,-632,16336,3736,-340,-16312,3964,644,4384,16820,-112,4724,14404
0,1584,-3576,17084,-2460,3332,16576,-636,16368,3720,-336,-16292,3840,676,4392,17024,-148,4716,14340
0,1568,-3644,17192,-2508,3328,16540,-648,16300,3640,-328,-16348,4000,664,4360,17124,-160,4780,14316
0,1628,-3556,17192,-2560,3276,16548,-700,16556,3760,-224,-16424,4060,704,4436,16992,-132,4656,14392
0,1612,-3668,17072,-2472,3372,16540,-664,16240,3740,-356,-16360,3828,624,4452,16960,-164,4740,14220
0,1612,-3652,17092,-2496,3256,16536,-668,16304,3800,-276,-16348,3852,788,4360,16824,-176,4712,14256
0,1624,-3552,17092,-2484,3324,16528,-620,16368,3692,-260,-16428,3736,732,4380,16968,-72,4680,14324
