trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,5360,-3544,16672,-2360,3312,16536,-536,16440,3784,-212,-16480,3688,-328,4580,17008,-20,3936,14708
0,5408,-3436,16608,-2220,3400,16500,-604,16372,3812,-140,-16440,3800,-388,4604,17020,108,3960,14684
0,5480,-3524,16588,-2308,3252,16388,-664,16376,3852,-72,-16408,3772,-356,4532,17116,-36,3964,14628
0,5392,-3396,16528,-2316,3388,16424,-648,16412,3928,-220,-16512,3656,-384,4460,16952,40,3944,14696
0,5248,-3500,16432,-2248,3372,16464,-672,16428,3880,-16,-16484,3656,-328,4524,16988,48,3976,14724
0,5312,-3468,16384,-2288,3320,16452,-584,16420,3808,-124,-16488,3672,-304,4536,17032,68,3944,14616
0,5492,-3472,16464,-2360,3368,16464,-596,16344,3744,-76,-16444,3620,-272,4544,17060,76,3964,14740
0,5492,-3536,16604,-2228,3472,16716,-536,16284,3944,-100,-16468,3656,-288,4544,17220,92,3992,14732
0,5332,-3452,16544,-2416,3372,16484,-548,16328,3848,-40,-16388,3608,-240,4424,17184,20,3848,14620
0,5352,-3492,16564,-2332,3368,16552,-604,16292,3692,-140,-16372,3612,-436,4472,17092,32,3816,14628
0,5592,-3512,16456,-2292,3504,16548,-644,16328,3764,32,-16440,3560,-388,4396,17180,16,3852,14744
0,5424,-3512,16508,-2384,3328,16440,-604,16312,3744,-64,-16532,3644,-328,4448,17016,-28,3852,14700
0,5404,-3460,16420,-2360,3288,16556,-572,16396,3908,24,-16380,3580,-384,4548,16996,12,3968,14616
0,5336,-3468,16592,-2500,3308,16580,-632,16364,4064,-152,-16464,3612,-280,4564,17008,116,3880,14704
0,5372,-3420,16528,-2216,3296,16396,-608,16340,3888,-84,-16484,3568,-368,4572,17056,68,4056,14620
0,5332,-3400,16632,-2372,3328,16620,-428,16368,3980,-136,-16420,3668,-228,4600,17092,52,3884,14512
0,5416,-3416,16512,-2308,3400,16576,-528,16272,3732,-12,-16408,3592,-240,4516,17044,4,3956,14472
0,5352,-3460,16552,-2276,3432,16548,-640,16336,3844,-184,-16456,3644,-328,4492,17008,4,3904,14660
0,5504,-3408,16528,-2372,3304,16508,-524,16388,3924,-132,-16500,3640,-396,4472,17072,44,3852,14656
0,5364,-3412,16612,-2264,3332,16744,-544,16284,3836,-64,-16452,3512,-356,4504,17036,-76,3864,14764
0,5356,-3420,16432,-2268,3364,16516,-560,16332,3756,0,-16440,3692,-396,4416,17076,-20,3792,14628
0,5432,-3468,16652,-2400,3240,16560,-560,16372,3896,-104,-16428,3604,-476,4428,17048,-32,3908,14648
0,5404,-3500,16640,-2200,3396,16564,-544,16376,3860,-36,-16384,3740,-384,4504,17020,-28,3764,14768
0,5452,-3444,16624,-2272,3420,16556,-588,16432,3828,-12,-16444,3696,-396,4568,16992,32,3880,14760
0,5428,-3424,16560,-2376,3444,16440,-600,16360,3888,-44,-16360,3564,-480,4424,17120,52,3932,14812
0,5308,-3376,16540,-2208,3256,16580,-660,16388,3872,-164,-16412,3652,-348,4500,17016,-16,3908,14756
