trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,1184,-4520,16980,-1984,2016,16912,-612,16376,3736,-172,-16296,3912,116,2960,17328,-324,3140,14788
0,1348,-4552,17036,-2020,2040,16896,-712,16320,3704,-200,-16436,3996,36,2936,17308,-332,3248,14800
0,1384,-4492,16936,-1880,2076,16776,-660,16340,3688,-316,-16452,4124,60,3008,17288,-280,3328,14784
0,1332,-4392,16868,-2044,1980,16824,-512,16204,3660,-236,-16328,4068,52,3152,17376,-236,3364,14756
0,1320,-4412,16772,-1980,2056,16768,-520,16356,3684,-152,-16308,3976,108,3152,17388,-200,3428,14628
0,1300,-4532,16904,-2104,2100,16888,-612,16292,3624,-288,-16384,4004,220,3100,17196,-140,3404,14680
0,1312,-4364,16912,-2012,2012,16968,-704,16364,3572,-296,-16376,3904,56,3060,17340,-296,3412,14804
0,1244,-4404,16860,-1980,2044,16764,-640,16276,3656,-316,-16300,3952,40,2996,17368,-316,3220,14568
0,1328,-4532,16916,-1984,2004,17092,-592,16448,3656,-316,-16396,3928,72,3012,17316,-256,3384,14772
0,1364,-4472,16924,-2008,1984,16804,-568,16404,3752,-192,-16424,4096,116,3032,17336,-300,3240,14764
0,1248,-4584,17092,-1992,2088,16876,-648,16380,3472,-216,-16304,4068,188,2980,17428,-308,3220,14668
0,1336,-4508,16928,-2036,2016,16860,-652,16360,3660,-340,-16384,3952,116,3052,17256,-276,3184,14884
0,1308,-4536,16852,-2044,2024,16848,-640,16400,3516,-420,-16312,3960,-28,3052,17248,-368,3260,14812
0,1312,-4504,16876,-2064,1964,16732,-652,16264,3544,-224,-16360,3884,32,3112,17260,-244,3244,14728
0,1204,-4384,16944,-2040,2084,16864,-580,16332,3624,-288,-16252,3988,92,3076,17272,-276,3184,14572
0,1272,-4448,16940,-2004,2108,16804,-632,16300,3580,-276,-16376,4000,172,3044,17444,-236,3368,14732
0,1336,-4444,16948,-1976,2048,17016,-628,16364,3656,-220,-16332,3952,52,3068,17188,-268,3324,14724
0,1348,-4472,17036,-2072,2008,16840,-716,16312,3636,-336,-16364,4016,104,3016,17340,-248,3316,14724
0,1336,-4568,16992,-1892,2116,16872,-564,16356,3660,-156,-16400,4036,152,3012,17376,-284,3276,14532
0,1396,-4468,16656,-1980,2032,16952,-728,16356,3644,-204,-16356,3964,-8,3060,17372,-212,3420,14652
0,1268,-4564,17104,-2040,2064,16864,-560,16292,3644,-248,-16372,3740,204,3020,17356,-252,3404,14628
0,1432,-4500,16916,-1956,2004,16768,-680,16324,3616,-288,-16392,3916,224,3076,17488,-196,3332,14692
0,1236,-4360,16892,-1996,2072,16816,-540,16424,3680,-260,-16428,3852,140,3220,17372,-308,3416,14644
0,1404,-4540,16892,-1944,2024,16816,-668,16380,3660,-332,-16332,4016,76,3060,17292,-152,3348,14808
0,1244,-4516,16948,-2100,2048,16800,-632,16388,3768,-356,-16380,3928,132,2984,17256,-304,3268,14708
0,1324,-4488,16960,-2024,2028,16868,-724,16396,3468,-344,-16408,4020,92,3084,17220,-300,3356,14524
0,1268,-4544,16980,-2092,1864,16912,-648,16420,3664,-296,-16428,3932,208,3008,17372,-220,3324,14692
0,1284,-4556,17032,-1976,1964,17008,-560,16356,3480,-340,-16364,4024,128,3080,17176,-244,3352,14804
0,1340,-4512,17020,-2116,2092,16968,-704,16392,3592,-228,-16372,3920,112,2948,17272,-224,3196,14668
0,1236,-4460,16960,-1996,2020,16772,-612,16320,3548,-316,-16364,3932,132,2972,17392,-376,3296,14608
0,1388,-4496,16920,-2064,1948,16760,-584,16380,3640,-344,-16368,3920,248,3012,17364,-204,3244,14732
0,1264,-4548,16884,-1992,1984,16888,-504,16376,3556,-332,-16324,4020,52,3048,17292,-280,3264,14660
0,1248,-4648,16924,-1996,2048,16892,-572,16328,3624,-324,-16404,4008,64,3128,17428,-300,3264,14732
0,1408,-4504,16988,-2088,2116,16904,-584,16436,3656,-220,-16336,4044,212,3088,17312,-236,3432,14804
0,1324,-4536,17016,-1936,2080,16816,-696,16284,3552,-340,-16296,4032,100,3100,17388,-204,3252,14692
0,1380,-4488,16824,-2076,2008,16940,-636,16456,3600,-364,-16304,3812,68,3088,17248,-256,3348,14660
0,1332,-4500,16924,-2004,2012,16840,-616,16348,3656,-232,-16364,3908,36,2996,17236,-148,3308,14480
0,1292,-4516,16772,-2076,2028,16868,-688,16316,3676,-200,-16368,3904,16,3016,17352,-284,3320,14684
0,1320,-4580,16976,-2048,2076,16996,-572,16352,3636,-304,-16372,4028,20,2976,17308,-236,3264,14636
0,1332,-4516,16888,-2032,2040,16816,-604,16360,3680,-304,-16380,4076,60,3104,17356,-220,3320,14688
0,1344,-4468,17044,-2084,1984,16812,-612,16284,3560,-336,-16356,3880,8,2988,17316,-368,3404,14572
0,1304,-4616,16900,-2012,2048,17032,-684,16276,3596,-244,-16352,3952,36,3064,17276,-264,3268,14644
0,1240,-4464,17020,-2064,2024,16940,-696,16372,3600,-196,-16408,4060,72,3108,17220,-312,3300,14540
0,1236,-4536,16780,-2012,1952,16752,-688,16344,3736,-252,-16404,4064,84,2972,17252,-324,3296,14816
0,1284,-4572,16980,-2080,1984,16924,-664,16432,3732,-344,-16388,4008,60,3064,17276,-300,3344,14692
0,1224,-4556,16984,-2000,2100,16816,-628,16332,3820,-372,-16372,3900,96,3040,17224,-308,3276,14648
0,1268,-4556,17076,-2040,2004,16736,-600,16360,3656,-344,-16304,3972,140,2992,17348,-232,3364,14784
0,1344,-4488,16844,-2092,2020,16964,-544,16348,3644,-280,-16380,4024,104,3016,17244,-220,3388,14668
0,1208,-4508,16948,-2080,1984,17124,-628,16380,3580,-300,-16468,3984,8,3024,17340,-312,3364,14692
0,1284,-4464,16852,-2064,2108,16816,-632,16304,3700,-208,-16300,3924,56,3024,17288,-164,3388,14752
0,1288,-4500,16940,-1972,1980,16788,-736,16312,3616,-340,-16324,4076,116,3088,17260,-320,3300,14748
0,1320,-4440,16944,-2112,2080,16796,-584,16260,3536,-292,-16324,3932,144,3116,17312,-264,3216,14772
0,1184,-4524,16816,-2012,2040,16928,-688,16360,3688,-260,-16368,3984,108,3008,17268,-204,3196,14776
