trigger,x:Right Hand,y:Right Hand,z:Right Hand,x:Right Arm,y:Right Arm,z:Right Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Hand,y:Left Hand,z:Left Hand,x:Left Arm,y:Left Arm,z:Left Arm
0,-3040,-5940,17708,-7808,-3660,15468,7548,14540,5128,11808,-14348,1768,-8644,2472,15392,-12168,2760,10880
0,-3068,-6564,16888,-7808,-3828,15492,7516,13692,4820,10812,-13252,1680,-8864,1748,15052,-12080,1600,10808
0,-2648,-7644,16208,-7560,-5100,14812,6868,12844,4600,9884,-12536,1692,-9072,908,14564,-12276,1140,10868
0,-2944,-7200,16072,-7560,-5292,14664,6748,12364,4328,9068,-11748,1676,-9204,644,14568,-11948,1264,10564
0,-2796,-8312,15956,-7656,-5208,14484,6568,12312,4224,9064,-11576,1664,-8584,548,14056,-10764,948,9960
0,-3128,-7484,15716,-7640,-5316,14472,6952,12260,4272,9228,-11512,1428,-8032,528,13784,-10432,1124,9400
0,-3152,-7552,16180,-7684,-5640,14468,7772,12468,4348,9500,-11932,1712,-7488,884,15088,-10380,1616,9240
0,-3552,-7852,15620,-7960,-5976,14476,8176,12648,4484,9624,-12204,1540,-7124,1212,15872,-9876,1872,9344
0,-3872,-7640,15216,-8116,-5812,13956,9264,12852,4760,9916,-12796,1696,-7400,1536,16720,-10320,2484,10092
0,-3936,-7384,13640,-8424,-6368,14340,9668,12920,4928,10144,-13320,1636,-6040,3560,16396,-9204,2908,10324
0,-4984,-7016,13656,-8796,-6140,13392,10300,13164,5060,10364,-13988,1732,-6536,1128,15012,-9048,3260,10024
0,-4168,-7372,14128,-7744,-5220,12684,10240,13140,5052,10600,-14596,1704,-6328,2252,14384,-9652,3428,10236
0,-3512,-7668,14100,-7664,-5388,13684,9648,13164,5052,10456,-14904,1864,-6392,2336,14568,-8164,3452,10648
0,-3904,-8736,14152,-7972,-5324,13540,9192,13700,4860,10428,-14560,2056,-6484,1992,14224,-8168,3464,10756
0,-3316,-8292,13888,-7592,-5556,13140,8440,13608,4668,10692,-14268,2012,-7052,2972,13824,-9024,3372,11188
0,-3280,-8080,13616,-7256,-5940,13348,7728,13760,4664,10916,-13484,2148,-7380,3384,12616,-9132,3952,9752
0,-3376,-8464,13904,-7660,-6408,13536,7428,13792,4400,10712,-13256,2160,-6864,4048,13224,-8940,4152,9204
0,-3608,-8144,13736,-7716,-6436,13872,7548,13736,4272,10520,-13236,2364,-6604,4240,14804,-9368,4920,10568
0,-3424,-8132,14540,-7640,-6200,13908,7432,14160,4208,10340,-13204,2456,-7584,5048,14104,-8468,5800,11176
0,-3480,-8016,14988,-7600,-6124,14220,7468,14252,4032,10032,-13628,2712,-7016,5124,13648,-8996,5536,11624
0,-3148,-8020,14868,-7332,-5980,14172,7800,14392,3928,9824,-13892,2908,-6928,4640,14252,-9044,5208,11796
0,-3004,-8148,14924,-7224,-5892,14164,8424,14448,3648,9824,-14240,3124,-6144,5028,14596,-9052,4592,12400
0,-3000,-8396,14692,-7036,-5664,14536,8212,14696,3552,9572,-13816,3292,-5832,5584,16204,-8476,5272,12964
0,-2308,-8316,14608,-6720,-5800,14560,8488,14676,3496,9792,-14052,3480,-5352,5652,17480,-8428,5500,11976
0,-2280,-6976,14652,-6060,-5144,14292,8484,14700,3388,9972,-13768,3524,-4812,7996,17796,-8072,6300,12012
0,-1760,-6760,15064,-5764,-4616,14132,8760,14688,3204,9920,-13544,3556,-4556,8220,17748,-8152,7684,12680
0,-1460,-6924,15472,-5772,-4136,14600,8600,14796,3332,9616,-13604,3656,-5368,8688,17588,-7828,7592,12608
0,-1756,-7164,15356,-7032,-4860,14768,8572,14796,3116,9460,-13336,3856,-5524,9180,16744,-7420,7284,12268
0,-1040,-6352,15832,-4400,-3444,14912,8108,14944,3080,9540,-12896,3800,-5876,8764,16216,-8244,6820,12132
0,-444,-4916,16664,-4264,-3512,15296,7784,14976,2968,9512,-12848,3752,-5248,8584,15896,-7888,6884,12368
0,-1092,-6020,16912,-4908,-3472,15468,7536,14952,2992,9852,-12492,3724,-6016,8300,15828,-7832,6744,12668
0,-2140,-7596,16664,-5788,-3876,16316,7644,14748,3052,10072,-12432,3468,-5580,7288,15188,-7300,6860,11228
0,-3152,-7868,16324,-6760,-4832,15808,7664,14644,3084,10112,-12296,3428,-5664,6456,15084,-8240,6060,12524
0,-4136,-8004,15480,-7612,-5232,14560,7712,14400,3340,10344,-12056,3132,-6172,5952,14996,-7832,5620,13292
0,-4948,-8484,14428,-8484,-5736,13304,7792,14212,3340,10628,-12316,3260,-5920,5124,14584,-8400,5752,12156
0,-4888,-9832,13504,-9104,-6568,13460,7956,14212,3540,10860,-12564,3080,-6388,5616,14580,-8824,5920,11828
0,-6156,-9912,13096,-9984,-7336,12664,8132,14140,3468,10888,-12764,2980,-6680,6404,14660,-9192,6180,13004
0,-6308,-10956,13004,-10400,-8344,12628,8476,14332,3580,10936,-13060,3116,-5940,6956,14556,-7248,8024,13100
0,-6852,-11896,12960,-10716,-8968,12736,8672,13948,3788,10780,-13452,3024,-4764,7444,14968,-8564,6504,11152
1,-6552,-12812,12856,-10960,-9452,12920,8992,13728,3772,10804,-13716,2904,-5604,8652,15784,-8956,6344,11556
1,-6592,-12512,12564,-10780,-9060,12580,9232,13732,3740,10700,-13868,3108,-4988,8580,15468,-9132,7284,10448
0,-5740,-11828,12228,-9876,-8228,11680,9164,13552,3884,10488,-14128,2852,-4456,7924,16508,-7396,9820,6652
0,-4452,-11288,11948,-8224,-6868,11344,9288,13616,3852,10236,-14108,3068,-2940,5988,18196,-8224,5568,7020
