trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-3808,-3984,16724,7416,-1164,15216,5160,5076,15512,6564,-10068,-11060,-2052,480,15020,7716,4324,14104
0,-3836,-3984,16720,7512,-1020,15104,5260,5072,15464,6604,-9980,-10832,-2028,452,14976,7680,4256,13916
0,-3864,-4068,16492,7464,-892,15224,5204,5100,15388,6544,-10076,-10988,-2076,616,14896,7788,4308,14148
0,-3720,-4096,16464,7416,-868,15256,5132,5012,15460,6500,-10024,-10908,-2164,356,14928,7676,4424,14016
0,-3812,-4224,16516,7676,-932,15324,5244,5056,15344,6436,-9996,-10980,-2144,48,15144,7616,4648,13988
0,-3748,-4236,16692,7660,-880,15228,5192,5160,15412,6452,-10072,-10892,-2144,-188,14988,7364,4648,14072
0,-3640,-4292,16852,7476,-748,15228,5204,5052,15580,6568,-9976,-10808,-2304,-196,15084,7584,4712,13944
0,-3660,-4456,16984,7592,-772,15376,5208,5104,15520,6612,-10080,-10768,-2212,44,15064,7408,4912,14340
0,-3688,-4172,16792,7588,-828,15252,5296,5016,15544,6580,-10108,-11008,-2136,28,15184,7404,4744,14332
0,-3612,-4328,16768,7420,-840,15364,5216,5108,15680,6656,-10100,-11100,-2020,84,15024,7556,4548,14228
0,-3684,-4412,16532,7452,-856,15192,5172,5024,15576,6552,-10172,-10996,-2144,128,15140,7576,4736,14256
0,-3672,-3988,16744,7408,-984,15420,5164,4980,15532,6580,-10064,-10964,-2252,92,15344,7552,4636,14168
0,-3600,-4000,16812,7260,-952,15232,5144,5064,15496,6540,-10112,-10836,-2108,84,15336,7400,4940,14136
0,-3712,-3880,16740,7436,-1116,15356,5140,5104,15544,6568,-10112,-10932,-2204,148,15316,7456,4728,14096
