trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-5856,-1308,16464,7956,-4080,14796,6968,14284,4224,8448,-14140,3288,-10032,-380,11036,8052,10204,10560
1,-5688,-1332,16520,7896,-4080,14704,7036,14220,4156,8516,-14344,3408,-10112,-448,11188,8004,10176,10532
0,-5812,-1268,16532,7960,-4228,14788,7028,14284,4144,8404,-14428,3240,-10012,-540,11168,8000,10236,10488
0,-5888,-1252,16620,8012,-4196,14708,7240,14300,4252,8488,-14564,3276,-10140,-612,10952,8044,10268,10460
0,-5936,-1712,16312,7924,-4064,14496,7012,14352,4364,8408,-14624,3364,-10120,-600,11140,8088,10284,10452
0,-5760,-1376,16416,8060,-4104,14480,7236,14368,4272,8584,-14520,3244,-10280,-596,11164,8000,10324,10436
0,-5964,-1240,16340,8084,-4156,14436,7080,14348,4340,8500,-14612,3216,-10152,-472,11080,7956,10312,10492
0,-6036,-1164,16200,8080,-4308,14488,7128,14392,4324,8568,-14360,3240,-10084,-564,11016,7856,10392,10380
0,-5932,-1200,16252,8064,-4280,14604,7164,14276,4136,8460,-14448,3276,-10056,-580,11180,7916,10352,10420
0,-5844,-1240,16292,8000,-4240,14424,7032,14140,4292,8500,-14436,3348,-10144,-644,11108,8076,10288,10392
0,-5924,-1368,16432,8104,-4200,14544,7148,14296,4316,8664,-14384,3324,-10144,-680,11004,7928,10236,10392
0,-5908,-1212,16444,8100,-4092,14500,7092,14272,4236,8492,-14348,3208,-10088,-644,11144,7944,10376,10264
1,-5792,-1304,16604,8056,-4176,14516,7232,14288,4156,8488,-14396,3396,-10088,-548,11152,7856,10336,10220
0,-5772,-1248,16448,8036,-4176,14640,7016,14252,4252,8488,-14380,3328,-10100,-552,11224,7976,10280,10216
0,-5940,-1212,16260,8016,-4236,14536,7128,14236,4304,8648,-14424,3272,-10176,-432,11168,8068,10252,10320
0,-5960,-1084,16160,7968,-4288,14404,7164,14320,4216,8648,-14328,3332,-10244,-480,10960,8080,10144,10468
0,-5864,-1084,16340,8020,-4288,14580,7168,14300,4164,8696,-14468,3388,-10120,-472,11112,8032,10340,10284
0,-5928,-1128,16288,7912,-4396,14564,7280,14396,4244,8612,-14292,3412,-10148,-568,10876,8048,10324,10396
0,-5896,-1120,16232,7920,-4288,14404,7192,14380,3984,8564,-14320,3436,-10040,-580,11020,7900,10364,10320
0,-5920,-1220,16424,7972,-4284,14608,7300,14416,4032,8696,-14240,3288,-10116,-540,11112,8048,10300,10268
0,-6024,-1116,16308,8100,-4316,14632,7180,14352,4004,8628,-14296,3412,-10148,-604,10984,8012,10280,10172
0,-6032,-1056,16232,8116,-4284,14500,7156,14380,4092,8520,-14312,3520,-10132,-604,11116,7996,10252,10300
0,-5888,-1160,16392,8040,-4356,14460,7080,14296,4120,8548,-14300,3432,-10144,-516,10928,8044,10452,10396
0,-5936,-1108,16428,8092,-4308,14596,7048,14396,4088,8524,-14336,3532,-10212,-428,11072,8036,10256,10400
0,-5948,-1156,16352,8060,-4284,14660,7076,14324,4068,8544,-14380,3272,-10148,-580,11068,8116,10280,10360
0,-5920,-1136,16456,8040,-4264,14516,7108,14368,4112,8592,-14380,3328,-10096,-532,11220,7996,10204,10388
